"spatial_scale","regions","climates","type","probas","time_window"
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_half_change_5",0.9375692924224,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_half_bis_change_5",0.9375692924224,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_half_change_10",0.7179545259136,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_half_bis_change_10",0.7179545259136,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_half_change_25",0.196475666832,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_half_bis_change_25",0.196475666832,30
"regions","Afghanistan","gfdl-esm4 ssp585","at_least_half_change_5",1,30
"regions","Afghanistan","gfdl-esm4 ssp585","at_least_half_bis_change_5",1,30
"regions","Afghanistan","gfdl-esm4 ssp585","at_least_half_change_10",0.975762424,30
"regions","Afghanistan","gfdl-esm4 ssp585","at_least_half_bis_change_10",0.975762424,30
"regions","Afghanistan","gfdl-esm4 ssp585","at_least_half_change_25",0.714615923989,30
"regions","Afghanistan","gfdl-esm4 ssp585","at_least_half_bis_change_25",0.714615923989,30
"regions","Afghanistan","ipsl-cm6a-lr ssp126","at_least_half_change_5",0.9831072908944,30
"regions","Afghanistan","ipsl-cm6a-lr ssp126","at_least_half_bis_change_5",0.9831072908944,30
"regions","Afghanistan","ipsl-cm6a-lr ssp126","at_least_half_change_10",0.7561491264352,30
"regions","Afghanistan","ipsl-cm6a-lr ssp126","at_least_half_bis_change_10",0.7561491264352,30
"regions","Afghanistan","ipsl-cm6a-lr ssp126","at_least_half_change_25",0.0762022044719998,30
"regions","Afghanistan","ipsl-cm6a-lr ssp126","at_least_half_bis_change_25",0.0762022044719998,30
"regions","Afghanistan","ipsl-cm6a-lr ssp585","at_least_half_change_5",1,30
"regions","Afghanistan","ipsl-cm6a-lr ssp585","at_least_half_bis_change_5",1,30
"regions","Afghanistan","ipsl-cm6a-lr ssp585","at_least_half_change_10",0.997980202,30
"regions","Afghanistan","ipsl-cm6a-lr ssp585","at_least_half_bis_change_10",0.997980202,30
"regions","Afghanistan","ipsl-cm6a-lr ssp585","at_least_half_change_25",0.862629973326,30
"regions","Afghanistan","ipsl-cm6a-lr ssp585","at_least_half_bis_change_25",0.862629973326,30
"regions","Albania","gfdl-esm4 ssp126","at_least_half_change_5",0.44254240928704,30
"regions","Albania","gfdl-esm4 ssp126","at_least_half_bis_change_5",0.44254240928704,30
"regions","Albania","gfdl-esm4 ssp126","at_least_half_change_10",0.17702643727576,30
"regions","Albania","gfdl-esm4 ssp126","at_least_half_bis_change_10",0.17702643727576,30
"regions","Albania","gfdl-esm4 ssp126","at_least_half_change_25",-2.77555756156289e-17,30
"regions","Albania","gfdl-esm4 ssp126","at_least_half_bis_change_25",-2.77555756156289e-17,30
"regions","Albania","gfdl-esm4 ssp585","at_least_half_change_5",1,30
"regions","Albania","gfdl-esm4 ssp585","at_least_half_bis_change_5",1,30
"regions","Albania","gfdl-esm4 ssp585","at_least_half_change_10",0.9779640772672,30
"regions","Albania","gfdl-esm4 ssp585","at_least_half_bis_change_10",0.9779640772672,30
"regions","Albania","gfdl-esm4 ssp585","at_least_half_change_25",0.30354958062536,30
"regions","Albania","gfdl-esm4 ssp585","at_least_half_bis_change_25",0.30354958062536,30
"regions","Albania","ipsl-cm6a-lr ssp126","at_least_half_change_5",0.824639331870196,30
"regions","Albania","ipsl-cm6a-lr ssp126","at_least_half_bis_change_5",0.824639331870196,30
"regions","Albania","ipsl-cm6a-lr ssp126","at_least_half_change_10",0.360588510737222,30
"regions","Albania","ipsl-cm6a-lr ssp126","at_least_half_bis_change_10",0.360588510737222,30
"regions","Albania","ipsl-cm6a-lr ssp126","at_least_half_change_25",-2.77555756156289e-17,30
"regions","Albania","ipsl-cm6a-lr ssp126","at_least_half_bis_change_25",-2.77555756156289e-17,30
"regions","Albania","ipsl-cm6a-lr ssp585","at_least_half_change_5",0.996328374435276,30
"regions","Albania","ipsl-cm6a-lr ssp585","at_least_half_bis_change_5",0.996328374435276,30
"regions","Albania","ipsl-cm6a-lr ssp585","at_least_half_change_10",0.941646117926713,30
"regions","Albania","ipsl-cm6a-lr ssp585","at_least_half_bis_change_10",0.941646117926713,30
"regions","Albania","ipsl-cm6a-lr ssp585","at_least_half_change_25",0.527593266005985,30
"regions","Albania","ipsl-cm6a-lr ssp585","at_least_half_bis_change_25",0.527593266005985,30
"regions","Algeria","gfdl-esm4 ssp126","at_least_half_change_5",1,30
"regions","Algeria","gfdl-esm4 ssp126","at_least_half_bis_change_5",1,30
"regions","Algeria","gfdl-esm4 ssp126","at_least_half_change_10",1,30
"regions","Algeria","gfdl-esm4 ssp126","at_least_half_bis_change_10",1,30
"regions","Algeria","gfdl-esm4 ssp126","at_least_half_change_25",-5.55111512312578e-17,30
"regions","Algeria","gfdl-esm4 ssp126","at_least_half_bis_change_25",-5.55111512312578e-17,30
"regions","Algeria","gfdl-esm4 ssp585","at_least_half_change_5",1,30
"regions","Algeria","gfdl-esm4 ssp585","at_least_half_bis_change_5",1,30
"regions","Algeria","gfdl-esm4 ssp585","at_least_half_change_10",1,30
"regions","Algeria","gfdl-esm4 ssp585","at_least_half_bis_change_10",1,30
"regions","Algeria","gfdl-esm4 ssp585","at_least_half_change_25",0.90081719,30
"regions","Algeria","gfdl-esm4 ssp585","at_least_half_bis_change_25",0.90081719,30
"regions","Algeria","ipsl-cm6a-lr ssp126","at_least_half_change_5",0.94492010854,30
"regions","Algeria","ipsl-cm6a-lr ssp126","at_least_half_bis_change_5",0.94492010854,30
"regions","Algeria","ipsl-cm6a-lr ssp126","at_least_half_change_10",0.71402314,30
"regions","Algeria","ipsl-cm6a-lr ssp126","at_least_half_bis_change_10",0.71402314,30
"regions","Algeria","ipsl-cm6a-lr ssp126","at_least_half_change_25",0.01818,30
"regions","Algeria","ipsl-cm6a-lr ssp126","at_least_half_bis_change_25",0.01818,30
"regions","Algeria","ipsl-cm6a-lr ssp585","at_least_half_change_5",1,30
"regions","Algeria","ipsl-cm6a-lr ssp585","at_least_half_bis_change_5",1,30
"regions","Algeria","ipsl-cm6a-lr ssp585","at_least_half_change_10",0.93389201146,30
"regions","Algeria","ipsl-cm6a-lr ssp585","at_least_half_bis_change_10",0.93389201146,30
"regions","Algeria","ipsl-cm6a-lr ssp585","at_least_half_change_25",0.5536719,30
"regions","Algeria","ipsl-cm6a-lr ssp585","at_least_half_bis_change_25",0.5536719,30
"regions","Andorra","gfdl-esm4 ssp126","at_least_half_change_5",0.894541778,30
"regions","Andorra","gfdl-esm4 ssp126","at_least_half_bis_change_5",0.894541778,30
"regions","Andorra","gfdl-esm4 ssp126","at_least_half_change_10",0.6036395152,30
"regions","Andorra","gfdl-esm4 ssp126","at_least_half_bis_change_10",0.6036395152,30
"regions","Andorra","gfdl-esm4 ssp126","at_least_half_change_25",0.0605939399999999,30
"regions","Andorra","gfdl-esm4 ssp126","at_least_half_bis_change_25",0.0605939399999999,30
"regions","Andorra","gfdl-esm4 ssp585","at_least_half_change_5",1,30
