"spatial_scale","regions","climates","type","probas","time_window"
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_one_5_up",0.834717356281,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_one_10_up",0.724528927135,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_one_25_up",0.36360404,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_one_5_down",0.9173561990248,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_one_10_down",0.742899174472,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_one_25_down",0.42144876,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_one_5_up_down",0.765733141217968,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_one_10_up_down",0.538251941849675,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_one_25_up_down",0.15324047178899,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_two_5_down",0.5674799446336,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_two_10_down",0.270891220674,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_two_25_down",0.0330512399999999,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_three_5_down",0.1660118636584,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_three_10_down",0.0426060052359999,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_three_25_down",-1.2490009027033e-16,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_two_5_up",0.294747657438,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_two_10_up",0.22864407573,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_two_25_up",0.0403959599999999,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_three_5_up",0.0220349862809999,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_three_10_up",0.0165269971349999,30
"regions","Afghanistan","gfdl-esm4 ssp126","at_least_three_25_up",-1.04083408558608e-16,30
"regions","Afghanistan","gfdl-esm4 ssp585","at_least_one_5_up",0.876032783416,30
"regions","Afghanistan","gfdl-esm4 ssp585","at_least_one_10_up",0.851243802562,30
"regions","Afghanistan","gfdl-esm4 ssp585","at_least_one_25_up",0.60325895191,30
"regions","Afghanistan","gfdl-esm4 ssp585","at_least_one_5_down",1,30
"regions","Afghanistan","gfdl-esm4 ssp585","at_least_one_10_down",0.9449041326832,30
"regions","Afghanistan","gfdl-esm4 ssp585","at_least_one_25_down",0.8457395046832,30
"regions","Afghanistan","gfdl-esm4 ssp585","at_least_one_5_up_down",0.876032783416,30
"regions","Afghanistan","gfdl-esm4 ssp585","at_least_one_10_up_down",0.804343786961796,30
"regions","Afghanistan","gfdl-esm4 ssp585","at_least_one_25_up_down",0.51019992718407,30
"regions","Afghanistan","gfdl-esm4 ssp585","at_least_two_5_down",0.926536823416,30
