"regions","spatial_scale","climates","type","probas","time_window"
"Abu musa, Greater and Lesser Tunb","regions","gfdl-esm4 ssp126","at_least_one_5_up_down",0,30
"Abu musa, Greater and Lesser Tunb","regions","gfdl-esm4 ssp126","at_least_one_10_up_down",0,30
"Abu musa, Greater and Lesser Tunb","regions","gfdl-esm4 ssp126","at_least_one_25_up_down",0,30
"Abu musa, Greater and Lesser Tunb","regions","gfdl-esm4 ssp126","at_least_two_5_down",0.75,30
"Abu musa, Greater and Lesser Tunb","regions","gfdl-esm4 ssp126","at_least_two_10_down",0.25,30
"Abu musa, Greater and Lesser Tunb","regions","gfdl-esm4 ssp126","at_least_two_25_down",0,30
"Abu musa, Greater and Lesser Tunb","regions","gfdl-esm4 ssp126","at_least_three_5_down",NA,30
"Abu musa, Greater and Lesser Tunb","regions","gfdl-esm4 ssp126","at_least_three_10_down",NA,30
"Abu musa, Greater and Lesser Tunb","regions","gfdl-esm4 ssp126","at_least_three_25_down",NA,30
"Abu musa, Greater and Lesser Tunb","regions","gfdl-esm4 ssp585","at_least_one_5_up_down",0,30
"Abu musa, Greater and Lesser Tunb","regions","gfdl-esm4 ssp585","at_least_one_10_up_down",0,30
"Abu musa, Greater and Lesser Tunb","regions","gfdl-esm4 ssp585","at_least_one_25_up_down",0,30
"Abu musa, Greater and Lesser Tunb","regions","gfdl-esm4 ssp585","at_least_two_5_down",1,30
"Abu musa, Greater and Lesser Tunb","regions","gfdl-esm4 ssp585","at_least_two_10_down",1,30
"Abu musa, Greater and Lesser Tunb","regions","gfdl-esm4 ssp585","at_least_two_25_down",0.75,30
"Abu musa, Greater and Lesser Tunb","regions","gfdl-esm4 ssp585","at_least_three_5_down",NA,30
"Abu musa, Greater and Lesser Tunb","regions","gfdl-esm4 ssp585","at_least_three_10_down",NA,30
"Abu musa, Greater and Lesser Tunb","regions","gfdl-esm4 ssp585","at_least_three_25_down",NA,30
"Abu musa, Greater and Lesser Tunb","regions","ipsl-cm6a-lr ssp126","at_least_one_5_up_down",0,30
"Abu musa, Greater and Lesser Tunb","regions","ipsl-cm6a-lr ssp126","at_least_one_10_up_down",0,30
"Abu musa, Greater and Lesser Tunb","regions","ipsl-cm6a-lr ssp126","at_least_one_25_up_down",0,30
"Abu musa, Greater and Lesser Tunb","regions","ipsl-cm6a-lr ssp126","at_least_two_5_down",0.8333,30
"Abu musa, Greater and Lesser Tunb","regions","ipsl-cm6a-lr ssp126","at_least_two_10_down",0.25,30
"Abu musa, Greater and Lesser Tunb","regions","ipsl-cm6a-lr ssp126","at_least_two_25_down",0.0833249999999999,30
"Abu musa, Greater and Lesser Tunb","regions","ipsl-cm6a-lr ssp126","at_least_three_5_down",NA,30
"Abu musa, Greater and Lesser Tunb","regions","ipsl-cm6a-lr ssp126","at_least_three_10_down",NA,30
"Abu musa, Greater and Lesser Tunb","regions","ipsl-cm6a-lr ssp126","at_least_three_25_down",NA,30
"Abu musa, Greater and Lesser Tunb","regions","ipsl-cm6a-lr ssp585","at_least_one_5_up_down",0,30
"Abu musa, Greater and Lesser Tunb","regions","ipsl-cm6a-lr ssp585","at_least_one_10_up_down",0,30
"Abu musa, Greater and Lesser Tunb","regions","ipsl-cm6a-lr ssp585","at_least_one_25_up_down",0,30
"Abu musa, Greater and Lesser Tunb","regions","ipsl-cm6a-lr ssp585","at_least_two_5_down",1,30
"Abu musa, Greater and Lesser Tunb","regions","ipsl-cm6a-lr ssp585","at_least_two_10_down",0.5,30
"Abu musa, Greater and Lesser Tunb","regions","ipsl-cm6a-lr ssp585","at_least_two_25_down",-5.55111512312578e-17,30
"Abu musa, Greater and Lesser Tunb","regions","ipsl-cm6a-lr ssp585","at_least_three_5_down",NA,30
"Abu musa, Greater and Lesser Tunb","regions","ipsl-cm6a-lr ssp585","at_least_three_10_down",NA,30
"Abu musa, Greater and Lesser Tunb","regions","ipsl-cm6a-lr ssp585","at_least_three_25_down",NA,30
"Afghanistan","regions","gfdl-esm4 ssp126","at_least_one_5_up_down",0.5757101,30
"Afghanistan","regions","gfdl-esm4 ssp126","at_least_one_10_up_down",0.30575124,30
"Afghanistan","regions","gfdl-esm4 ssp126","at_least_one_25_up_down",0,30
"Afghanistan","regions","gfdl-esm4 ssp126","at_least_two_5_down",0.58681405,30
"Afghanistan","regions","gfdl-esm4 ssp126","at_least_two_10_down",0.2727,30
"Afghanistan","regions","gfdl-esm4 ssp126","at_least_two_25_down",0,30
"Afghanistan","regions","gfdl-esm4 ssp126","at_least_three_5_down",0.04958595,30
"Afghanistan","regions","gfdl-esm4 ssp126","at_least_three_10_down",-5.55111512312578e-17,30
"Afghanistan","regions","gfdl-esm4 ssp126","at_least_three_25_down",0,30
"Afghanistan","regions","gfdl-esm4 ssp585","at_least_one_5_up_down",0.809034538841404,30
"Afghanistan","regions","gfdl-esm4 ssp585","at_least_one_10_up_down",0.696135244114511,30
"Afghanistan","regions","gfdl-esm4 ssp585","at_least_one_25_up_down",0.271609126305047,30
"Afghanistan","regions","gfdl-esm4 ssp585","at_least_two_5_down",0.641861019146,30
"Afghanistan","regions","gfdl-esm4 ssp585","at_least_two_10_down",0.512376927865,30
"Afghanistan","regions","gfdl-esm4 ssp585","at_least_two_25_down",0.0927280080899999,30
"Afghanistan","regions","gfdl-esm4 ssp585","at_least_three_5_down",0.216235399146,30
"Afghanistan","regions","gfdl-esm4 ssp585","at_least_three_10_down",0.132906680427,30
"Afghanistan","regions","gfdl-esm4 ssp585","at_least_three_25_down",0.00458999095499991,30
"Afghanistan","regions","ipsl-cm6a-lr ssp126","at_least_one_5_up_down",0.36360404,30
"Afghanistan","regions","ipsl-cm6a-lr ssp126","at_least_one_10_up_down",0.26600768396042,30
"Afghanistan","regions","ipsl-cm6a-lr ssp126","at_least_one_25_up_down",0,30
"Afghanistan","regions","ipsl-cm6a-lr ssp126","at_least_two_5_down",0.925633057438,30
"Afghanistan","regions","ipsl-cm6a-lr ssp126","at_least_two_10_down",0.50185725476125,30
"Afghanistan","regions","ipsl-cm6a-lr ssp126","at_least_two_25_down",0.0165256199999999,30
"Afghanistan","regions","ipsl-cm6a-lr ssp126","at_least_three_5_down",0.562013775124,30
"Afghanistan","regions","ipsl-cm6a-lr ssp126","at_least_three_10_down",0.08333124369375,30
"Afghanistan","regions","ipsl-cm6a-lr ssp126","at_least_three_25_down",-9.0205620750794e-17,30
"Afghanistan","regions","ipsl-cm6a-lr ssp585","at_least_one_5_up_down",0.485725802764,30
"Afghanistan","regions","ipsl-cm6a-lr ssp585","at_least_one_10_up_down",0.408863023461518,30
"Afghanistan","regions","ipsl-cm6a-lr ssp585","at_least_one_25_up_down",0.324287838877926,30
"Afghanistan","regions","ipsl-cm6a-lr ssp585","at_least_two_5_down",0.983474012764,30
"Afghanistan","regions","ipsl-cm6a-lr ssp585","at_least_two_10_down",0.898999816382,30
"Afghanistan","regions","ipsl-cm6a-lr ssp585","at_least_two_25_down",0.460940862112,30
"Afghanistan","regions","ipsl-cm6a-lr ssp585","at_least_three_5_down",0.773203214472,30
"Afghanistan","regions","ipsl-cm6a-lr ssp585","at_least_three_10_down",0.55029058809,30
"Afghanistan","regions","ipsl-cm6a-lr ssp585","at_least_three_25_down",0.066103948944,30
"Alaska","regions","gfdl-esm4 ssp126","at_least_one_5_up_down",0,30
"Alaska","regions","gfdl-esm4 ssp126","at_least_one_10_up_down",0,30
"Alaska","regions","gfdl-esm4 ssp126","at_least_one_25_up_down",0,30
"Alaska","regions","gfdl-esm4 ssp126","at_least_two_5_down",0.75,30
"Alaska","regions","gfdl-esm4 ssp126","at_least_two_10_down",0.125,30
"Alaska","regions","gfdl-esm4 ssp126","at_least_two_25_down",0,30
"Alaska","regions","gfdl-esm4 ssp126","at_least_three_5_down",NA,30
"Alaska","regions","gfdl-esm4 ssp126","at_least_three_10_down",NA,30
"Alaska","regions","gfdl-esm4 ssp126","at_least_three_25_down",NA,30
"Alaska","regions","gfdl-esm4 ssp585","at_least_one_5_up_down",0,30
"Alaska","regions","gfdl-esm4 ssp585","at_least_one_10_up_down",0,30
"Alaska","regions","gfdl-esm4 ssp585","at_least_one_25_up_down",0,30
"Alaska","regions","gfdl-esm4 ssp585","at_least_two_5_down",0.75,30
"Alaska","regions","gfdl-esm4 ssp585","at_least_two_10_down",0.75,30
"Alaska","regions","gfdl-esm4 ssp585","at_least_two_25_down",0.0625,30
"Alaska","regions","gfdl-esm4 ssp585","at_least_three_5_down",NA,30
"Alaska","regions","gfdl-esm4 ssp585","at_least_three_10_down",NA,30
"Alaska","regions","gfdl-esm4 ssp585","at_least_three_25_down",NA,30
"Alaska","regions","ipsl-cm6a-lr ssp126","at_least_one_5_up_down",0,30
"Alaska","regions","ipsl-cm6a-lr ssp126","at_least_one_10_up_down",0,30
"Alaska","regions","ipsl-cm6a-lr ssp126","at_least_one_25_up_down",0,30
"Alaska","regions","ipsl-cm6a-lr ssp126","at_least_two_5_down",0.25,30
"Alaska","regions","ipsl-cm6a-lr ssp126","at_least_two_10_down",0.25,30
"Alaska","regions","ipsl-cm6a-lr ssp126","at_least_two_25_down",-2.77555756156289e-17,30
"Alaska","regions","ipsl-cm6a-lr ssp126","at_least_three_5_down",NA,30
"Alaska","regions","ipsl-cm6a-lr ssp126","at_least_three_10_down",NA,30
"Alaska","regions","ipsl-cm6a-lr ssp126","at_least_three_25_down",NA,30
"Alaska","regions","ipsl-cm6a-lr ssp585","at_least_one_5_up_down",0,30
"Alaska","regions","ipsl-cm6a-lr ssp585","at_least_one_10_up_down",0,30
"Alaska","regions","ipsl-cm6a-lr ssp585","at_least_one_25_up_down",0,30
"Alaska","regions","ipsl-cm6a-lr ssp585","at_least_two_5_down",1,30
"Alaska","regions","ipsl-cm6a-lr ssp585","at_least_two_10_down",1,30
"Alaska","regions","ipsl-cm6a-lr ssp585","at_least_two_25_down",0.25,30
"Alaska","regions","ipsl-cm6a-lr ssp585","at_least_three_5_down",NA,30
"Alaska","regions","ipsl-cm6a-lr ssp585","at_least_three_10_down",NA,30
"Alaska","regions","ipsl-cm6a-lr ssp585","at_least_three_25_down",NA,30
"Albania","regions","gfdl-esm4 ssp126","at_least_one_5_up_down",0.475389772819104,30
"Albania","regions","gfdl-esm4 ssp126","at_least_one_10_up_down",0.16362,30
"Albania","regions","gfdl-esm4 ssp126","at_least_one_25_up_down",0,30
"Albania","regions","gfdl-esm4 ssp126","at_least_two_5_down",0.5271521024674,30
"Albania","regions","gfdl-esm4 ssp126","at_least_two_10_down",0,30
"Albania","regions","gfdl-esm4 ssp126","at_least_two_25_down",-2.77555756156289e-17,30
"Albania","regions","gfdl-esm4 ssp126","at_least_three_5_down",0.1472273923742,30
"Albania","regions","gfdl-esm4 ssp126","at_least_three_10_down",0,30
"Albania","regions","gfdl-esm4 ssp126","at_least_three_25_down",-2.77555756156289e-17,30
"Albania","regions","gfdl-esm4 ssp585","at_least_one_5_up_down",0.78785606,30
"Albania","regions","gfdl-esm4 ssp585","at_least_one_10_up_down",0.71715303,30
"Albania","regions","gfdl-esm4 ssp585","at_least_one_25_up_down",0.323193129703219,30
"Albania","regions","gfdl-esm4 ssp585","at_least_two_5_down",1,30
"Albania","regions","gfdl-esm4 ssp585","at_least_two_10_down",1,30
"Albania","regions","gfdl-esm4 ssp585","at_least_two_25_down",0.1946597612236,30
"Albania","regions","gfdl-esm4 ssp585","at_least_three_5_down",0.8765877693664,30
"Albania","regions","gfdl-esm4 ssp585","at_least_three_10_down",0.8119469613664,30
"Albania","regions","gfdl-esm4 ssp585","at_least_three_25_down",0.0269933564045,30
"Albania","regions","ipsl-cm6a-lr ssp126","at_least_one_5_up_down",0.488823029234322,30
"Albania","regions","ipsl-cm6a-lr ssp126","at_least_one_10_up_down",0.210663167611492,30
"Albania","regions","ipsl-cm6a-lr ssp126","at_least_one_25_up_down",0,30
"Albania","regions","ipsl-cm6a-lr ssp126","at_least_two_5_down",0.690901795485217,30
"Albania","regions","ipsl-cm6a-lr ssp126","at_least_two_10_down",0.16833030329125,30
"Albania","regions","ipsl-cm6a-lr ssp126","at_least_two_25_down",0,30
"Albania","regions","ipsl-cm6a-lr ssp126","at_least_three_5_down",0.303528503228739,30
"Albania","regions","ipsl-cm6a-lr ssp126","at_least_three_10_down",0.0201978958417499,30
"Albania","regions","ipsl-cm6a-lr ssp126","at_least_three_25_down",0,30
"Albania","regions","ipsl-cm6a-lr ssp585","at_least_one_5_up_down",0.842835163191052,30
"Albania","regions","ipsl-cm6a-lr ssp585","at_least_one_10_up_down",0.725000430239474,30
"Albania","regions","ipsl-cm6a-lr ssp585","at_least_one_25_up_down",0.522769557833528,30
"Albania","regions","ipsl-cm6a-lr ssp585","at_least_two_5_down",0.980959711164163,30
"Albania","regions","ipsl-cm6a-lr ssp585","at_least_two_10_down",0.934710499002095,30
"Albania","regions","ipsl-cm6a-lr ssp585","at_least_two_25_down",0.561321660139804,30
"Albania","regions","ipsl-cm6a-lr ssp585","at_least_three_5_down",0.832971219976138,30
"Albania","regions","ipsl-cm6a-lr ssp585","at_least_three_10_down",0.668628263230332,30
"Albania","regions","ipsl-cm6a-lr ssp585","at_least_three_25_down",0.204074871179,30
"Algeria","regions","gfdl-esm4 ssp126","at_least_one_5_up_down",0.518911783502308,30
"Algeria","regions","gfdl-esm4 ssp126","at_least_one_10_up_down",0.113262579726288,30
"Algeria","regions","gfdl-esm4 ssp126","at_least_one_25_up_down",0,30
"Algeria","regions","gfdl-esm4 ssp126","at_least_two_5_down",0.54336157,30
"Algeria","regions","gfdl-esm4 ssp126","at_least_two_10_down",0.0764378099999999,30
"Algeria","regions","gfdl-esm4 ssp126","at_least_two_25_down",0,30
"Algeria","regions","gfdl-esm4 ssp126","at_least_three_5_down",0.18386343,30
"Algeria","regions","gfdl-esm4 ssp126","at_least_three_10_down",0.00413140499999994,30
"Algeria","regions","gfdl-esm4 ssp126","at_least_three_25_down",0,30
"Algeria","regions","gfdl-esm4 ssp585","at_least_one_5_up_down",0.82645372,30
"Algeria","regions","gfdl-esm4 ssp585","at_least_one_10_up_down",0.73555372,30
"Algeria","regions","gfdl-esm4 ssp585","at_least_one_25_up_down",0.30415961667825,30
"Algeria","regions","gfdl-esm4 ssp585","at_least_two_5_down",0.8677586775,30
"Algeria","regions","gfdl-esm4 ssp585","at_least_two_10_down",0.851230785,30
"Algeria","regions","gfdl-esm4 ssp585","at_least_two_25_down",0.4659,30
"Algeria","regions","gfdl-esm4 ssp585","at_least_three_5_down",0.371867355,30
"Algeria","regions","gfdl-esm4 ssp585","at_least_three_10_down",0.31608657,30
"Algeria","regions","gfdl-esm4 ssp585","at_least_three_25_down",0.068175,30
"Algeria","regions","ipsl-cm6a-lr ssp126","at_least_one_5_up_down",0.504091459146,30
"Algeria","regions","ipsl-cm6a-lr ssp126","at_least_one_10_up_down",0.226531563812077,30
"Algeria","regions","ipsl-cm6a-lr ssp126","at_least_one_25_up_down",0.00826281,30
"Algeria","regions","ipsl-cm6a-lr ssp126","at_least_two_5_down",0.53714628,30
"Algeria","regions","ipsl-cm6a-lr ssp126","at_least_two_10_down",0.42764814,30
"Algeria","regions","ipsl-cm6a-lr ssp126","at_least_two_25_down",-1.38777878078145e-17,30
"Algeria","regions","ipsl-cm6a-lr ssp126","at_least_three_5_down",0.09915372,30
"Algeria","regions","ipsl-cm6a-lr ssp126","at_least_three_10_down",0.0743652899999999,30
"Algeria","regions","ipsl-cm6a-lr ssp126","at_least_three_25_down",-1.38777878078145e-17,30
"Algeria","regions","ipsl-cm6a-lr ssp585","at_least_one_5_up_down",0.79749752,30
"Algeria","regions","ipsl-cm6a-lr ssp585","at_least_one_10_up_down",0.603262257438,30
"Algeria","regions","ipsl-cm6a-lr ssp585","at_least_one_25_up_down",0.208537113242096,30
"Algeria","regions","ipsl-cm6a-lr ssp585","at_least_two_5_down",0.6281281,30
