"sector","spatial_scale","eco_model","climate_model","experiment_climate","output_variable","percent_diff"
"agriculture","global","crover","gfdl-esm4","ssp126","maize",0.95381863057792
"agriculture","global","crover","gfdl-esm4","ssp126","wheat",6.12562948173297
"agriculture","global","crover","gfdl-esm4","ssp126","soybean",12.7394524337669
"agriculture","global","crover","gfdl-esm4","ssp126","rice",2.56014334758673
"agriculture","global","cygma1p74","gfdl-esm4","ssp126","maize",-2.83525728011954
"agriculture","global","cygma1p74","gfdl-esm4","ssp126","wheat",4.13029147550966
"agriculture","global","cygma1p74","gfdl-esm4","ssp126","soybean",2.66771609117967
"agriculture","global","cygma1p74","gfdl-esm4","ssp126","rice",8.77256867998186
"agriculture","global","dssat-pythia","gfdl-esm4","ssp126","maize",4.16544430658323
"agriculture","global","dssat-pythia","gfdl-esm4","ssp126","wheat",9.91682595327121
"agriculture","global","dssat-pythia","gfdl-esm4","ssp126","soybean",NA
"agriculture","global","dssat-pythia","gfdl-esm4","ssp126","rice",NA
"agriculture","global","epic-iiasa","gfdl-esm4","ssp126","maize",1.50459723193918
"agriculture","global","epic-iiasa","gfdl-esm4","ssp126","wheat",5.73907385073557
"agriculture","global","epic-iiasa","gfdl-esm4","ssp126","soybean",8.11939493949556
"agriculture","global","epic-iiasa","gfdl-esm4","ssp126","rice",5.78622063265064
"agriculture","global","isam","gfdl-esm4","ssp126","maize",-3.35337088638103
"agriculture","global","isam","gfdl-esm4","ssp126","wheat",3.98012846170614
"agriculture","global","isam","gfdl-esm4","ssp126","soybean",7.55480376886308
"agriculture","global","isam","gfdl-esm4","ssp126","rice",3.31229855393763
"agriculture","global","ldndc","gfdl-esm4","ssp126","maize",1.06461920007091
"agriculture","global","ldndc","gfdl-esm4","ssp126","wheat",4.73771593596683
"agriculture","global","ldndc","gfdl-esm4","ssp126","soybean",0.729512802744385
"agriculture","global","ldndc","gfdl-esm4","ssp126","rice",3.29184754275989
"agriculture","global","lpjml","gfdl-esm4","ssp126","maize",1.65450826569782
