"sector","spatial_scale","eco_model","climate_model","experiment_climate","output_variable","percent_diff"
"agriculture","global","crover","gfdl-esm4","ssp126","maize",0.963904811479747
"agriculture","global","crover","gfdl-esm4","ssp126","wheat",5.54020388654007
"agriculture","global","crover","gfdl-esm4","ssp126","soybean",12.7541925545497
"agriculture","global","crover","gfdl-esm4","ssp126","rice",2.64343555121195
"agriculture","global","cygma1p74","gfdl-esm4","ssp126","maize",-4.14764938997428
"agriculture","global","cygma1p74","gfdl-esm4","ssp126","wheat",3.79755834162852
"agriculture","global","cygma1p74","gfdl-esm4","ssp126","soybean",2.00579591662781
"agriculture","global","cygma1p74","gfdl-esm4","ssp126","rice",8.64296980857468
"agriculture","global","dssat-pythia","gfdl-esm4","ssp126","maize",3.44125050172305
"agriculture","global","dssat-pythia","gfdl-esm4","ssp126","wheat",9.34612431094958
"agriculture","global","dssat-pythia","gfdl-esm4","ssp126","soybean",NA
"agriculture","global","dssat-pythia","gfdl-esm4","ssp126","rice",NA
"agriculture","global","epic-iiasa","gfdl-esm4","ssp126","maize",1.22674603605961
"agriculture","global","epic-iiasa","gfdl-esm4","ssp126","wheat",5.54762674224818
"agriculture","global","epic-iiasa","gfdl-esm4","ssp126","soybean",7.71710320062766
"agriculture","global","epic-iiasa","gfdl-esm4","ssp126","rice",5.57711769287107
"agriculture","global","isam","gfdl-esm4","ssp126","maize",-2.964942042185
"agriculture","global","isam","gfdl-esm4","ssp126","wheat",3.33291069800874
"agriculture","global","isam","gfdl-esm4","ssp126","soybean",7.90047721368397
"agriculture","global","isam","gfdl-esm4","ssp126","rice",3.22877297257253
"agriculture","global","ldndc","gfdl-esm4","ssp126","maize",1.04198684454931
"agriculture","global","ldndc","gfdl-esm4","ssp126","wheat",4.60847511786798
"agriculture","global","ldndc","gfdl-esm4","ssp126","soybean",0.839508580985904
"agriculture","global","ldndc","gfdl-esm4","ssp126","rice",3.37952796514077
"agriculture","global","lpjml","gfdl-esm4","ssp126","maize",1.62694077678728
"agriculture","global","lpjml","gfdl-esm4","ssp126","wheat",3.94845004252987
"agriculture","global","lpjml","gfdl-esm4","ssp126","soybean",8.00705651769948
"agriculture","global","lpjml","gfdl-esm4","ssp126","rice",2.90987543422001
"agriculture","global","pdssat","gfdl-esm4","ssp126","maize",-3.69104588767227
"agriculture","global","pdssat","gfdl-esm4","ssp126","wheat",7.07140741395034
"agriculture","global","pdssat","gfdl-esm4","ssp126","soybean",9.46132571499413
"agriculture","global","pdssat","gfdl-esm4","ssp126","rice",3.27665397090136
"agriculture","global","pepic","gfdl-esm4","ssp126","maize",3.63011575581493
"agriculture","global","pepic","gfdl-esm4","ssp126","wheat",7.76966159696209
"agriculture","global","pepic","gfdl-esm4","ssp126","soybean",7.39529715923152
"agriculture","global","pepic","gfdl-esm4","ssp126","rice",7.97309481467882
"agriculture","global","promet","gfdl-esm4","ssp126","maize",4.73239275520187
"agriculture","global","promet","gfdl-esm4","ssp126","wheat",7.82948365301946
"agriculture","global","promet","gfdl-esm4","ssp126","soybean",10.6003946015093
