"spatial_scale","climates","type","probas","time_window"
"global","gfdl-esm4 ssp126","at_least_one_change_5",1,30
"global","gfdl-esm4 ssp126","at_least_two_change_5",0.9985312028944,30
"global","gfdl-esm4 ssp126","at_least_three_change_5",0.9714301041844,30
"global","gfdl-esm4 ssp126","at_least_one_change_10",0.826430337073,30
"global","gfdl-esm4 ssp126","at_least_two_change_10",0.435576951118,30
"global","gfdl-esm4 ssp126","at_least_three_change_10",0.125901664736,30
"global","gfdl-esm4 ssp126","at_least_one_change_25",0,30
"global","gfdl-esm4 ssp126","at_least_two_change_25",0,30
"global","gfdl-esm4 ssp126","at_least_three_change_25",0,30
"global","gfdl-esm4 ssp585","at_least_one_change_5",1,30
"global","gfdl-esm4 ssp585","at_least_two_change_5",1,30
"global","gfdl-esm4 ssp585","at_least_three_change_5",1,30
"global","gfdl-esm4 ssp585","at_least_one_change_10",1,30
"global","gfdl-esm4 ssp585","at_least_two_change_10",1,30
"global","gfdl-esm4 ssp585","at_least_three_change_10",0.951524848,30
"global","gfdl-esm4 ssp585","at_least_one_change_25",0.7222895309752,30
"global","gfdl-esm4 ssp585","at_least_two_change_25",0.2919805693664,30
"global","gfdl-esm4 ssp585","at_least_three_change_25",0.0580235083415999,30
"global","ipsl-cm6a-lr ssp126","at_least_one_change_5",0.99549962355189,30
"global","ipsl-cm6a-lr ssp126","at_least_two_change_5",0.946493359593161,30
"global","ipsl-cm6a-lr ssp126","at_least_three_change_5",0.757370976757073,30
"global","ipsl-cm6a-lr ssp126","at_least_one_change_10",0.735528668849417,30
"global","ipsl-cm6a-lr ssp126","at_least_two_change_10",0.315324952608493,30
"global","ipsl-cm6a-lr ssp126","at_least_three_change_10",0.0727540309510169,30
"global","ipsl-cm6a-lr ssp126","at_least_one_change_25",0,30
"global","ipsl-cm6a-lr ssp126","at_least_two_change_25",0,30
"global","ipsl-cm6a-lr ssp126","at_least_three_change_25",0,30
"global","ipsl-cm6a-lr ssp585","at_least_one_change_5",1,30
"global","ipsl-cm6a-lr ssp585","at_least_two_change_5",1,30
"global","ipsl-cm6a-lr ssp585","at_least_three_change_5",0.9988984021708,30
"global","ipsl-cm6a-lr ssp585","at_least_one_change_10",1,30
"global","ipsl-cm6a-lr ssp585","at_least_two_change_10",0.9982371203056,30
"global","ipsl-cm6a-lr ssp585","at_least_three_change_10",0.9729676842696,30
"global","ipsl-cm6a-lr ssp585","at_least_one_change_25",0.89716260815747,30
"global","ipsl-cm6a-lr ssp585","at_least_two_change_25",0.506834322301677,30
"global","ipsl-cm6a-lr ssp585","at_least_three_change_25",0.151350420588149,30
"global","gfdl-esm4 ssp126","at_least_one_change_5",1,20
"global","gfdl-esm4 ssp126","at_least_two_change_5",0.996694600573,20
"global","gfdl-esm4 ssp126","at_least_three_change_5",0.942704105011,20
"global","gfdl-esm4 ssp126","at_least_one_change_10",0.826430337073,20
"global","gfdl-esm4 ssp126","at_least_two_change_10",0.435576951118,20
"global","gfdl-esm4 ssp126","at_least_three_change_10",0.125901664736,20
"global","gfdl-esm4 ssp126","at_least_one_change_25",0,20
"global","gfdl-esm4 ssp126","at_least_two_change_25",0,20
"global","gfdl-esm4 ssp126","at_least_three_change_25",0,20
"global","gfdl-esm4 ssp585","at_least_one_change_5",1,20
"global","gfdl-esm4 ssp585","at_least_two_change_5",1,20
"global","gfdl-esm4 ssp585","at_least_three_change_5",0.9987881212,20
"global","gfdl-esm4 ssp585","at_least_one_change_10",1,20
"global","gfdl-esm4 ssp585","at_least_two_change_10",1,20
"global","gfdl-esm4 ssp585","at_least_three_change_10",0.967683232,20
"global","gfdl-esm4 ssp585","at_least_one_change_25",0.7119995582066,20
"global","gfdl-esm4 ssp585","at_least_two_change_25",0.2903249038182,20
"global","gfdl-esm4 ssp585","at_least_three_change_25",0.0603183477437998,20
"global","ipsl-cm6a-lr ssp126","at_least_one_change_5",0.997428406826909,20
"global","ipsl-cm6a-lr ssp126","at_least_two_change_5",0.963501430588782,20
"global","ipsl-cm6a-lr ssp126","at_least_three_change_5",0.801543089161096,20
"global","ipsl-cm6a-lr ssp126","at_least_one_change_10",0.706146556894409,20
"global","ipsl-cm6a-lr ssp126","at_least_two_change_10",0.275169917344647,20
"global","ipsl-cm6a-lr ssp126","at_least_three_change_10",0.0547272509856084,20
"global","ipsl-cm6a-lr ssp126","at_least_one_change_25",0,20
"global","ipsl-cm6a-lr ssp126","at_least_two_change_25",0,20
"global","ipsl-cm6a-lr ssp126","at_least_three_change_25",0,20
"global","ipsl-cm6a-lr ssp585","at_least_one_change_5",1,20
"global","ipsl-cm6a-lr ssp585","at_least_two_change_5",1,20
"global","ipsl-cm6a-lr ssp585","at_least_three_change_5",1,20
"global","ipsl-cm6a-lr ssp585","at_least_one_change_10",1,20
"global","ipsl-cm6a-lr ssp585","at_least_two_change_10",0.9995592800764,20
"global","ipsl-cm6a-lr ssp585","at_least_three_change_10",0.9899365216404,20
"global","ipsl-cm6a-lr ssp585","at_least_one_change_25",0.950632815784041,20
"global","ipsl-cm6a-lr ssp585","at_least_two_change_25",0.716422501124315,20
