"spatial_scale","climates","type","probas","time_window"
"global","gfdl-esm4 ssp126","at_least_half_change_5",0.9714301041844,30
"global","gfdl-esm4 ssp126","at_least_half_bis_change_5",0.9714301041844,30
"global","gfdl-esm4 ssp126","at_least_half_change_10",0.125901664736,30
"global","gfdl-esm4 ssp126","at_least_half_bis_change_10",0.125901664736,30
"global","gfdl-esm4 ssp126","at_least_half_change_25",0,30
"global","gfdl-esm4 ssp126","at_least_half_bis_change_25",0,30
"global","gfdl-esm4 ssp585","at_least_half_change_5",1,30
"global","gfdl-esm4 ssp585","at_least_half_bis_change_5",1,30
"global","gfdl-esm4 ssp585","at_least_half_change_10",0.951524848,30
"global","gfdl-esm4 ssp585","at_least_half_bis_change_10",0.951524848,30
"global","gfdl-esm4 ssp585","at_least_half_change_25",0.0580235083415999,30
"global","gfdl-esm4 ssp585","at_least_half_bis_change_25",0.0580235083415999,30
"global","ipsl-cm6a-lr ssp126","at_least_half_change_5",0.757370976757073,30
"global","ipsl-cm6a-lr ssp126","at_least_half_bis_change_5",0.757370976757073,30
"global","ipsl-cm6a-lr ssp126","at_least_half_change_10",0.0727540309510169,30
"global","ipsl-cm6a-lr ssp126","at_least_half_bis_change_10",0.0727540309510169,30
"global","ipsl-cm6a-lr ssp126","at_least_half_change_25",0,30
"global","ipsl-cm6a-lr ssp126","at_least_half_bis_change_25",0,30
"global","ipsl-cm6a-lr ssp585","at_least_half_change_5",0.9988984021708,30
"global","ipsl-cm6a-lr ssp585","at_least_half_bis_change_5",0.9988984021708,30
"global","ipsl-cm6a-lr ssp585","at_least_half_change_10",0.9729676842696,30
"global","ipsl-cm6a-lr ssp585","at_least_half_bis_change_10",0.9729676842696,30
"global","ipsl-cm6a-lr ssp585","at_least_half_change_25",0.151350420588149,30
"global","ipsl-cm6a-lr ssp585","at_least_half_bis_change_25",0.151350420588149,30
"global","gfdl-esm4 ssp126","at_least_half_change_5",0.942704105011,20
"global","gfdl-esm4 ssp126","at_least_half_bis_change_5",0.942704105011,20
"global","gfdl-esm4 ssp126","at_least_half_change_10",0.125901664736,20
"global","gfdl-esm4 ssp126","at_least_half_bis_change_10",0.125901664736,20
"global","gfdl-esm4 ssp126","at_least_half_change_25",0,20
"global","gfdl-esm4 ssp126","at_least_half_bis_change_25",0,20
"global","gfdl-esm4 ssp585","at_least_half_change_5",0.9987881212,20
"global","gfdl-esm4 ssp585","at_least_half_bis_change_5",0.9987881212,20
"global","gfdl-esm4 ssp585","at_least_half_change_10",0.967683232,20
"global","gfdl-esm4 ssp585","at_least_half_bis_change_10",0.967683232,20
"global","gfdl-esm4 ssp585","at_least_half_change_25",0.0603183477437998,20
"global","gfdl-esm4 ssp585","at_least_half_bis_change_25",0.0603183477437998,20
"global","ipsl-cm6a-lr ssp126","at_least_half_change_5",0.801543089161096,20
"global","ipsl-cm6a-lr ssp126","at_least_half_bis_change_5",0.801543089161096,20
"global","ipsl-cm6a-lr ssp126","at_least_half_change_10",0.0547272509856084,20
"global","ipsl-cm6a-lr ssp126","at_least_half_bis_change_10",0.0547272509856084,20
"global","ipsl-cm6a-lr ssp126","at_least_half_change_25",0,20
"global","ipsl-cm6a-lr ssp126","at_least_half_bis_change_25",0,20
"global","ipsl-cm6a-lr ssp585","at_least_half_change_5",1,20
"global","ipsl-cm6a-lr ssp585","at_least_half_bis_change_5",1,20
"global","ipsl-cm6a-lr ssp585","at_least_half_change_10",0.9899365216404,20
"global","ipsl-cm6a-lr ssp585","at_least_half_bis_change_10",0.9899365216404,20
"global","ipsl-cm6a-lr ssp585","at_least_half_change_25",0.360589183579417,20
"global","ipsl-cm6a-lr ssp585","at_least_half_bis_change_25",0.360589183579417,20
"global","gfdl-esm4 ssp126","at_least_half_change_5",0.942704105011,10
"global","gfdl-esm4 ssp126","at_least_half_bis_change_5",0.942704105011,10
"global","gfdl-esm4 ssp126","at_least_half_change_10",0.110063636677,10
"global","gfdl-esm4 ssp126","at_least_half_bis_change_10",0.110063636677,10
"global","gfdl-esm4 ssp126","at_least_half_change_25",0,10
"global","gfdl-esm4 ssp126","at_least_half_bis_change_25",0,10
"global","gfdl-esm4 ssp585","at_least_half_change_5",0.9945465454,10
"global","gfdl-esm4 ssp585","at_least_half_bis_change_5",0.9945465454,10
"global","gfdl-esm4 ssp585","at_least_half_change_10",0.9757580608,10
"global","gfdl-esm4 ssp585","at_least_half_bis_change_10",0.9757580608,10
"global","gfdl-esm4 ssp585","at_least_half_change_25",0.0966745464875998,10
"global","gfdl-esm4 ssp585","at_least_half_bis_change_25",0.0966745464875998,10
"global","ipsl-cm6a-lr ssp126","at_least_half_change_5",0.710561721961325,10
"global","ipsl-cm6a-lr ssp126","at_least_half_bis_change_5",0.710561721961325,10
"global","ipsl-cm6a-lr ssp126","at_least_half_change_10",0.0727540309510169,10
"global","ipsl-cm6a-lr ssp126","at_least_half_bis_change_10",0.0727540309510169,10
"global","ipsl-cm6a-lr ssp126","at_least_half_change_25",0,10
"global","ipsl-cm6a-lr ssp126","at_least_half_bis_change_25",0,10
"global","ipsl-cm6a-lr ssp585","at_least_half_change_5",1,10
"global","ipsl-cm6a-lr ssp585","at_least_half_bis_change_5",1,10
"global","ipsl-cm6a-lr ssp585","at_least_half_change_10",0.995592800764,10
"global","ipsl-cm6a-lr ssp585","at_least_half_bis_change_10",0.995592800764,10
"global","ipsl-cm6a-lr ssp585","at_least_half_change_25",0.552003407901881,10
"global","ipsl-cm6a-lr ssp585","at_least_half_bis_change_25",0.552003407901881,10
