"sector","years","spatial_scale","eco_model","climate_model","experiment_climate","output_variable","percent_diff"
"agriculture",1983,"global","crover","gfdl-esm4","ssp126","maize",6.27000381810551
"agriculture",1983,"global","crover","gfdl-esm4","ssp126","wheat",-2.92573105887503
"agriculture",1983,"global","crover","gfdl-esm4","ssp126","soybean",-10.5462072967606
"agriculture",1983,"global","crover","gfdl-esm4","ssp126","rice",2.37518217530893
"agriculture",1984,"global","crover","gfdl-esm4","ssp126","maize",5.40963083708349
"agriculture",1984,"global","crover","gfdl-esm4","ssp126","wheat",-4.24025738305867
"agriculture",1984,"global","crover","gfdl-esm4","ssp126","soybean",-12.8388964754636
"agriculture",1984,"global","crover","gfdl-esm4","ssp126","rice",3.35355929714526
"agriculture",1985,"global","crover","gfdl-esm4","ssp126","maize",3.33947263115339
"agriculture",1985,"global","crover","gfdl-esm4","ssp126","wheat",-2.41680578882776
"agriculture",1985,"global","crover","gfdl-esm4","ssp126","soybean",-11.5899002663457
"agriculture",1985,"global","crover","gfdl-esm4","ssp126","rice",-0.239575789881312
"agriculture",1986,"global","crover","gfdl-esm4","ssp126","maize",3.93124580303488
"agriculture",1986,"global","crover","gfdl-esm4","ssp126","wheat",-3.63824946705984
"agriculture",1986,"global","crover","gfdl-esm4","ssp126","soybean",-16.1342356778375
"agriculture",1986,"global","crover","gfdl-esm4","ssp126","rice",-1.70055475893866
"agriculture",1987,"global","crover","gfdl-esm4","ssp126","maize",4.96462394005067
"agriculture",1987,"global","crover","gfdl-esm4","ssp126","wheat",-3.63443302443739
"agriculture",1987,"global","crover","gfdl-esm4","ssp126","soybean",-13.1856664414694
"agriculture",1987,"global","crover","gfdl-esm4","ssp126","rice",-3.29341506302827
"agriculture",1988,"global","crover","gfdl-esm4","ssp126","maize",7.24888800162672
"agriculture",1988,"global","crover","gfdl-esm4","ssp126","wheat",-4.23786810201869
"agriculture",1988,"global","crover","gfdl-esm4","ssp126","soybean",-9.34559554676638
"agriculture",1988,"global","crover","gfdl-esm4","ssp126","rice",0.18953363586583
"agriculture",1989,"global","crover","gfdl-esm4","ssp126","maize",3.10431069460787
"agriculture",1989,"global","crover","gfdl-esm4","ssp126","wheat",-3.24001924634131
"agriculture",1989,"global","crover","gfdl-esm4","ssp126","soybean",-7.70587830436888
"agriculture",1989,"global","crover","gfdl-esm4","ssp126","rice",-0.693429657692683
"agriculture",1990,"global","crover","gfdl-esm4","ssp126","maize",3.11170428312426
"agriculture",1990,"global","crover","gfdl-esm4","ssp126","wheat",-6.70497405711271
"agriculture",1990,"global","crover","gfdl-esm4","ssp126","soybean",-11.3760347577776
"agriculture",1990,"global","crover","gfdl-esm4","ssp126","rice",-1.79819048904809
"agriculture",1991,"global","crover","gfdl-esm4","ssp126","maize",1.24209781674622
"agriculture",1991,"global","crover","gfdl-esm4","ssp126","wheat",-5.00461457517477
"agriculture",1991,"global","crover","gfdl-esm4","ssp126","soybean",-9.83632789626879
"agriculture",1991,"global","crover","gfdl-esm4","ssp126","rice",0.133754404696851
"agriculture",1992,"global","crover","gfdl-esm4","ssp126","maize",1.09402430888456
"agriculture",1992,"global","crover","gfdl-esm4","ssp126","wheat",1.91518637499203
"agriculture",1992,"global","crover","gfdl-esm4","ssp126","soybean",-10.2093076479889
"agriculture",1992,"global","crover","gfdl-esm4","ssp126","rice",5.9779180228276
"agriculture",1993,"global","crover","gfdl-esm4","ssp126","maize",5.41694459706468
"agriculture",1993,"global","crover","gfdl-esm4","ssp126","wheat",-0.256973045430959
"agriculture",1993,"global","crover","gfdl-esm4","ssp126","soybean",-9.39140096235622
"agriculture",1993,"global","crover","gfdl-esm4","ssp126","rice",1.65679608032712
"agriculture",1994,"global","crover","gfdl-esm4","ssp126","maize",2.23425651827966
"agriculture",1994,"global","crover","gfdl-esm4","ssp126","wheat",-0.761446801611412
"agriculture",1994,"global","crover","gfdl-esm4","ssp126","soybean",-9.24162683205304
"agriculture",1994,"global","crover","gfdl-esm4","ssp126","rice",1.14723632959997
"agriculture",1995,"global","crover","gfdl-esm4","ssp126","maize",1.59119232947652
"agriculture",1995,"global","crover","gfdl-esm4","ssp126","wheat",-2.57147249719886
"agriculture",1995,"global","crover","gfdl-esm4","ssp126","soybean",-13.0649375311191
"agriculture",1995,"global","crover","gfdl-esm4","ssp126","rice",2.4366728735289
"agriculture",1996,"global","crover","gfdl-esm4","ssp126","maize",2.70176776281838
"agriculture",1996,"global","crover","gfdl-esm4","ssp126","wheat",-4.15352804618878
"agriculture",1996,"global","crover","gfdl-esm4","ssp126","soybean",-8.43247470500172
"agriculture",1996,"global","crover","gfdl-esm4","ssp126","rice",-0.426428426809234
"agriculture",1997,"global","crover","gfdl-esm4","ssp126","maize",6.83671497857295
"agriculture",1997,"global","crover","gfdl-esm4","ssp126","wheat",-2.41651410121647
"agriculture",1997,"global","crover","gfdl-esm4","ssp126","soybean",-3.82130429428952
"agriculture",1997,"global","crover","gfdl-esm4","ssp126","rice",3.11278248193107
"agriculture",1998,"global","crover","gfdl-esm4","ssp126","maize",2.791218405719
"agriculture",1998,"global","crover","gfdl-esm4","ssp126","wheat",-3.04113732520115
"agriculture",1998,"global","crover","gfdl-esm4","ssp126","soybean",-7.97782449999278
"agriculture",1998,"global","crover","gfdl-esm4","ssp126","rice",-0.104090886504886
"agriculture",1999,"global","crover","gfdl-esm4","ssp126","maize",1.49202997800033
"agriculture",1999,"global","crover","gfdl-esm4","ssp126","wheat",-5.51743218956224
"agriculture",1999,"global","crover","gfdl-esm4","ssp126","soybean",-10.5119825540856
"agriculture",1999,"global","crover","gfdl-esm4","ssp126","rice",-0.490150124934126
"agriculture",2000,"global","crover","gfdl-esm4","ssp126","maize",1.15189358345118
"agriculture",2000,"global","crover","gfdl-esm4","ssp126","wheat",-6.12494291257258
"agriculture",2000,"global","crover","gfdl-esm4","ssp126","soybean",-7.06303862460771
"agriculture",2000,"global","crover","gfdl-esm4","ssp126","rice",-1.04531642833246
"agriculture",2001,"global","crover","gfdl-esm4","ssp126","maize",0.702004024217172
"agriculture",2001,"global","crover","gfdl-esm4","ssp126","wheat",-2.01990792587474
"agriculture",2001,"global","crover","gfdl-esm4","ssp126","soybean",-11.2511800413479
"agriculture",2001,"global","crover","gfdl-esm4","ssp126","rice",-3.8043669865515
"agriculture",2002,"global","crover","gfdl-esm4","ssp126","maize",1.86231117366565
"agriculture",2002,"global","crover","gfdl-esm4","ssp126","wheat",1.1535898778269
"agriculture",2002,"global","crover","gfdl-esm4","ssp126","soybean",-6.29993933224091
"agriculture",2002,"global","crover","gfdl-esm4","ssp126","rice",-2.2442464305079
"agriculture",2003,"global","crover","gfdl-esm4","ssp126","maize",2.26396146934404
"agriculture",2003,"global","crover","gfdl-esm4","ssp126","wheat",0.275775927954367
"agriculture",2003,"global","crover","gfdl-esm4","ssp126","soybean",-3.88063893022616
"agriculture",2003,"global","crover","gfdl-esm4","ssp126","rice",-1.62421621241741
"agriculture",2004,"global","crover","gfdl-esm4","ssp126","maize",0.256478470114604
"agriculture",2004,"global","crover","gfdl-esm4","ssp126","wheat",-4.23002545335742
"agriculture",2004,"global","crover","gfdl-esm4","ssp126","soybean",-4.52273113096398
"agriculture",2004,"global","crover","gfdl-esm4","ssp126","rice",-1.72922115414234
"agriculture",2005,"global","crover","gfdl-esm4","ssp126","maize",3.06025429476701
"agriculture",2005,"global","crover","gfdl-esm4","ssp126","wheat",0.391514435042712
"agriculture",2005,"global","crover","gfdl-esm4","ssp126","soybean",-0.381368930603765
"agriculture",2005,"global","crover","gfdl-esm4","ssp126","rice",-0.560954642331959
"agriculture",2006,"global","crover","gfdl-esm4","ssp126","maize",-0.995873679106774
"agriculture",2006,"global","crover","gfdl-esm4","ssp126","wheat",0.828178790942948
"agriculture",2006,"global","crover","gfdl-esm4","ssp126","soybean",-4.93029061694603
"agriculture",2006,"global","crover","gfdl-esm4","ssp126","rice",2.88665742300428
"agriculture",2007,"global","crover","gfdl-esm4","ssp126","maize",1.42067302137151
"agriculture",2007,"global","crover","gfdl-esm4","ssp126","wheat",-5.20341390989703
"agriculture",2007,"global","crover","gfdl-esm4","ssp126","soybean",-0.29336010286071
"agriculture",2007,"global","crover","gfdl-esm4","ssp126","rice",1.87597255697519
"agriculture",2008,"global","crover","gfdl-esm4","ssp126","maize",-1.24528313964414
"agriculture",2008,"global","crover","gfdl-esm4","ssp126","wheat",-7.91444034980695
"agriculture",2008,"global","crover","gfdl-esm4","ssp126","soybean",-9.58952348438713
"agriculture",2008,"global","crover","gfdl-esm4","ssp126","rice",-0.744839914739223
"agriculture",2009,"global","crover","gfdl-esm4","ssp126","maize",-1.11521238999832
"agriculture",2009,"global","crover","gfdl-esm4","ssp126","wheat",-0.623910233340399
"agriculture",2009,"global","crover","gfdl-esm4","ssp126","soybean",-5.82274350040089
"agriculture",2009,"global","crover","gfdl-esm4","ssp126","rice",-3.99432095728365
"agriculture",2010,"global","crover","gfdl-esm4","ssp126","maize",0.690010218824743
"agriculture",2010,"global","crover","gfdl-esm4","ssp126","wheat",-1.50826041859734
"agriculture",2010,"global","crover","gfdl-esm4","ssp126","soybean",-0.349238761390189
"agriculture",2010,"global","crover","gfdl-esm4","ssp126","rice",1.5288000881065
"agriculture",2011,"global","crover","gfdl-esm4","ssp126","maize",0.901696091111483
"agriculture",2011,"global","crover","gfdl-esm4","ssp126","wheat",-0.947421192651174
"agriculture",2011,"global","crover","gfdl-esm4","ssp126","soybean",-2.60165347387868
"agriculture",2011,"global","crover","gfdl-esm4","ssp126","rice",0.322567433117139
"agriculture",2012,"global","crover","gfdl-esm4","ssp126","maize",0.780687423104581
"agriculture",2012,"global","crover","gfdl-esm4","ssp126","wheat",-1.42900546596982
"agriculture",2012,"global","crover","gfdl-esm4","ssp126","soybean",-5.25193831395632
"agriculture",2012,"global","crover","gfdl-esm4","ssp126","rice",-1.06556272074056
"agriculture",2013,"global","crover","gfdl-esm4","ssp126","maize",-2.20433186417308
"agriculture",2013,"global","crover","gfdl-esm4","ssp126","wheat",-4.44751314205615
"agriculture",2013,"global","crover","gfdl-esm4","ssp126","soybean",-2.19955828786714
"agriculture",2013,"global","crover","gfdl-esm4","ssp126","rice",0.322607635941177
"agriculture",2014,"global","crover","gfdl-esm4","ssp126","maize",0.316330034040353
"agriculture",2014,"global","crover","gfdl-esm4","ssp126","wheat",2.67253842546262
"agriculture",2014,"global","crover","gfdl-esm4","ssp126","soybean",-1.11306515922114
"agriculture",2014,"global","crover","gfdl-esm4","ssp126","rice",0.30632519294782
"agriculture",2015,"global","crover","gfdl-esm4","ssp126","maize",0.254361142544558
"agriculture",2015,"global","crover","gfdl-esm4","ssp126","wheat",4.09967433336637
"agriculture",2015,"global","crover","gfdl-esm4","ssp126","soybean",0.18542396323562
"agriculture",2015,"global","crover","gfdl-esm4","ssp126","rice",0.762658583701414
"agriculture",2016,"global","crover","gfdl-esm4","ssp126","maize",-1.2671898283467
"agriculture",2016,"global","crover","gfdl-esm4","ssp126","wheat",-0.454540871694281
"agriculture",2016,"global","crover","gfdl-esm4","ssp126","soybean",0.215070541017426
"agriculture",2016,"global","crover","gfdl-esm4","ssp126","rice",-2.52746037501894
"agriculture",2017,"global","crover","gfdl-esm4","ssp126","maize",-1.73815620844485
"agriculture",2017,"global","crover","gfdl-esm4","ssp126","wheat",-1.41492931660627
"agriculture",2017,"global","crover","gfdl-esm4","ssp126","soybean",0.809797973696781
"agriculture",2017,"global","crover","gfdl-esm4","ssp126","rice",-2.46576862021376
"agriculture",2018,"global","crover","gfdl-esm4","ssp126","maize",0.442774290803452
"agriculture",2018,"global","crover","gfdl-esm4","ssp126","wheat",3.62789164746947
"agriculture",2018,"global","crover","gfdl-esm4","ssp126","soybean",4.79689728869795
"agriculture",2018,"global","crover","gfdl-esm4","ssp126","rice",1.71119807971962
"agriculture",2019,"global","crover","gfdl-esm4","ssp126","maize",1.82381870053556
"agriculture",2019,"global","crover","gfdl-esm4","ssp126","wheat",-0.198433998723374
"agriculture",2019,"global","crover","gfdl-esm4","ssp126","soybean",5.5082642296657
"agriculture",2019,"global","crover","gfdl-esm4","ssp126","rice",1.10463470243961
"agriculture",2020,"global","crover","gfdl-esm4","ssp126","maize",2.19180046394161
"agriculture",2020,"global","crover","gfdl-esm4","ssp126","wheat",3.69592079053345
"agriculture",2020,"global","crover","gfdl-esm4","ssp126","soybean",7.20520761721309
"agriculture",2020,"global","crover","gfdl-esm4","ssp126","rice",-2.69476065819873
"agriculture",2021,"global","crover","gfdl-esm4","ssp126","maize",-3.23302524253348
"agriculture",2021,"global","crover","gfdl-esm4","ssp126","wheat",0.808310814464962
"agriculture",2021,"global","crover","gfdl-esm4","ssp126","soybean",-0.318996988611629
"agriculture",2021,"global","crover","gfdl-esm4","ssp126","rice",-4.15764458255683
