"sector","years","spatial_scale","eco_model","climate_model","experiment_climate","output_variable","percent_diff"
"agriculture",1983,"global","crover","gfdl-esm4","ssp126","maize",6.77740123415385
"agriculture",1983,"global","crover","gfdl-esm4","ssp126","wheat",-2.96838096009135
"agriculture",1983,"global","crover","gfdl-esm4","ssp126","soybean",-10.0839222744617
"agriculture",1983,"global","crover","gfdl-esm4","ssp126","rice",2.21372877465959
"agriculture",1984,"global","crover","gfdl-esm4","ssp126","maize",5.54327253517058
"agriculture",1984,"global","crover","gfdl-esm4","ssp126","wheat",-4.23407322864929
"agriculture",1984,"global","crover","gfdl-esm4","ssp126","soybean",-12.769340509413
"agriculture",1984,"global","crover","gfdl-esm4","ssp126","rice",3.2875214847312
"agriculture",1985,"global","crover","gfdl-esm4","ssp126","maize",3.83024249029673
"agriculture",1985,"global","crover","gfdl-esm4","ssp126","wheat",-2.77808984413201
"agriculture",1985,"global","crover","gfdl-esm4","ssp126","soybean",-11.4571345396867
"agriculture",1985,"global","crover","gfdl-esm4","ssp126","rice",-0.338157688798467
"agriculture",1986,"global","crover","gfdl-esm4","ssp126","maize",4.22159440532987
"agriculture",1986,"global","crover","gfdl-esm4","ssp126","wheat",-3.81548896940213
"agriculture",1986,"global","crover","gfdl-esm4","ssp126","soybean",-15.9698392611767
"agriculture",1986,"global","crover","gfdl-esm4","ssp126","rice",-1.79263304048626
"agriculture",1987,"global","crover","gfdl-esm4","ssp126","maize",4.98010679586547
"agriculture",1987,"global","crover","gfdl-esm4","ssp126","wheat",-4.04433355370416
"agriculture",1987,"global","crover","gfdl-esm4","ssp126","soybean",-13.4686036085485
"agriculture",1987,"global","crover","gfdl-esm4","ssp126","rice",-3.00301841395813
"agriculture",1988,"global","crover","gfdl-esm4","ssp126","maize",7.12965325820982
"agriculture",1988,"global","crover","gfdl-esm4","ssp126","wheat",-4.39004189782283
"agriculture",1988,"global","crover","gfdl-esm4","ssp126","soybean",-9.96640491601064
"agriculture",1988,"global","crover","gfdl-esm4","ssp126","rice",0.112094647883793
"agriculture",1989,"global","crover","gfdl-esm4","ssp126","maize",3.68481779616314
"agriculture",1989,"global","crover","gfdl-esm4","ssp126","wheat",-3.66881513410598
"agriculture",1989,"global","crover","gfdl-esm4","ssp126","soybean",-7.74402476672987
"agriculture",1989,"global","crover","gfdl-esm4","ssp126","rice",-1.06017270276394
"agriculture",1990,"global","crover","gfdl-esm4","ssp126","maize",3.28632333867558
"agriculture",1990,"global","crover","gfdl-esm4","ssp126","wheat",-6.99741638031639
"agriculture",1990,"global","crover","gfdl-esm4","ssp126","soybean",-11.3839513436071
"agriculture",1990,"global","crover","gfdl-esm4","ssp126","rice",-2.1850799080454
"agriculture",1991,"global","crover","gfdl-esm4","ssp126","maize",1.69613879396542
"agriculture",1991,"global","crover","gfdl-esm4","ssp126","wheat",-5.1973301793077
"agriculture",1991,"global","crover","gfdl-esm4","ssp126","soybean",-9.5164086721968
"agriculture",1991,"global","crover","gfdl-esm4","ssp126","rice",0.014243155829291
"agriculture",1992,"global","crover","gfdl-esm4","ssp126","maize",2.00062212733701
"agriculture",1992,"global","crover","gfdl-esm4","ssp126","wheat",1.86437006917493
"agriculture",1992,"global","crover","gfdl-esm4","ssp126","soybean",-9.83812905866023
"agriculture",1992,"global","crover","gfdl-esm4","ssp126","rice",6.25927155531403
"agriculture",1993,"global","crover","gfdl-esm4","ssp126","maize",5.75117932731343
"agriculture",1993,"global","crover","gfdl-esm4","ssp126","wheat",0.0648020373634786
"agriculture",1993,"global","crover","gfdl-esm4","ssp126","soybean",-9.08538418766073
"agriculture",1993,"global","crover","gfdl-esm4","ssp126","rice",2.26216502976761
"agriculture",1994,"global","crover","gfdl-esm4","ssp126","maize",2.45299225749713
"agriculture",1994,"global","crover","gfdl-esm4","ssp126","wheat",-1.16183399660907
"agriculture",1994,"global","crover","gfdl-esm4","ssp126","soybean",-8.71332753066018
"agriculture",1994,"global","crover","gfdl-esm4","ssp126","rice",0.912017191002331
"agriculture",1995,"global","crover","gfdl-esm4","ssp126","maize",1.74215368086698
"agriculture",1995,"global","crover","gfdl-esm4","ssp126","wheat",-3.30518836379534
"agriculture",1995,"global","crover","gfdl-esm4","ssp126","soybean",-13.0202282195574
"agriculture",1995,"global","crover","gfdl-esm4","ssp126","rice",1.97632444028757
"agriculture",1996,"global","crover","gfdl-esm4","ssp126","maize",2.62154685400139
"agriculture",1996,"global","crover","gfdl-esm4","ssp126","wheat",-4.2510667765923
"agriculture",1996,"global","crover","gfdl-esm4","ssp126","soybean",-8.2693399673196
"agriculture",1996,"global","crover","gfdl-esm4","ssp126","rice",-0.426780644872687
"agriculture",1997,"global","crover","gfdl-esm4","ssp126","maize",6.64190295253425
"agriculture",1997,"global","crover","gfdl-esm4","ssp126","wheat",-2.43986532168814
"agriculture",1997,"global","crover","gfdl-esm4","ssp126","soybean",-3.89910165318761
"agriculture",1997,"global","crover","gfdl-esm4","ssp126","rice",2.88468252625859
"agriculture",1998,"global","crover","gfdl-esm4","ssp126","maize",2.76476806892629
"agriculture",1998,"global","crover","gfdl-esm4","ssp126","wheat",-3.45258985756571
"agriculture",1998,"global","crover","gfdl-esm4","ssp126","soybean",-7.66758076498536
"agriculture",1998,"global","crover","gfdl-esm4","ssp126","rice",0.178855872119125
"agriculture",1999,"global","crover","gfdl-esm4","ssp126","maize",1.54700065024785
"agriculture",1999,"global","crover","gfdl-esm4","ssp126","wheat",-5.9189665285089
"agriculture",1999,"global","crover","gfdl-esm4","ssp126","soybean",-9.98403842077055
"agriculture",1999,"global","crover","gfdl-esm4","ssp126","rice",-0.68817482213014
"agriculture",2000,"global","crover","gfdl-esm4","ssp126","maize",1.13286945865787
"agriculture",2000,"global","crover","gfdl-esm4","ssp126","wheat",-6.29183574656984
"agriculture",2000,"global","crover","gfdl-esm4","ssp126","soybean",-6.88791459088553
"agriculture",2000,"global","crover","gfdl-esm4","ssp126","rice",-1.16912476008645
"agriculture",2001,"global","crover","gfdl-esm4","ssp126","maize",0.653598128937292
"agriculture",2001,"global","crover","gfdl-esm4","ssp126","wheat",-2.75870452204282
"agriculture",2001,"global","crover","gfdl-esm4","ssp126","soybean",-11.5083149924263
"agriculture",2001,"global","crover","gfdl-esm4","ssp126","rice",-3.88840149135162
"agriculture",2002,"global","crover","gfdl-esm4","ssp126","maize",1.72843375878879
"agriculture",2002,"global","crover","gfdl-esm4","ssp126","wheat",0.680228865882401
"agriculture",2002,"global","crover","gfdl-esm4","ssp126","soybean",-6.28932422888745
