"spatial_scale","regions","climates","type","probas","time_window"
"rta",4,"gfdl-esm4 ssp126","at_least_one_change_5",0.9986227548292,30
"rta",4,"gfdl-esm4 ssp126","at_least_two_change_5",0.9806033136808,30
"rta",4,"gfdl-esm4 ssp126","at_least_three_change_5",0.8872298148448,30
"rta",4,"gfdl-esm4 ssp126","at_least_one_change_10",0.7813049584,30
"rta",4,"gfdl-esm4 ssp126","at_least_two_change_10",0.3864644876,30
"rta",4,"gfdl-esm4 ssp126","at_least_three_change_10",0.1101952068,30
"rta",4,"gfdl-esm4 ssp126","at_least_one_change_25",0.1,30
"rta",4,"gfdl-esm4 ssp126","at_least_two_change_25",-2.77555756156289e-17,30
"rta",4,"gfdl-esm4 ssp126","at_least_three_change_25",-2.77555756156289e-17,30
"rta",4,"gfdl-esm4 ssp585","at_least_one_change_5",1,30
"rta",4,"gfdl-esm4 ssp585","at_least_two_change_5",0.99955936086832,30
"rta",4,"gfdl-esm4 ssp585","at_least_three_change_5",0.98982775376272,30
"rta",4,"gfdl-esm4 ssp585","at_least_one_change_10",1,30
"rta",4,"gfdl-esm4 ssp585","at_least_two_change_10",0.99603424781488,30
"rta",4,"gfdl-esm4 ssp585","at_least_three_change_10",0.93554981759008,30
"rta",4,"gfdl-esm4 ssp585","at_least_one_change_25",0.8698337820145,30
"rta",4,"gfdl-esm4 ssp585","at_least_two_change_25",0.516311673283,30
"rta",4,"gfdl-esm4 ssp585","at_least_three_change_25",0.175541177104,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_one_change_5",1,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_two_change_5",0.9966947107438,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_three_change_5",0.9548249312314,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_one_change_10",0.9365328928,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_two_change_10",0.6641390416,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_three_change_10",0.2667769584,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_one_change_25",0.330556942,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_two_change_25",0.040490496,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_three_change_25",0.00165256199999999,30
"rta",4,"ipsl-cm6a-lr ssp585","at_least_one_change_5",1,30
"rta",4,"ipsl-cm6a-lr ssp585","at_least_two_change_5",1,30
"rta",4,"ipsl-cm6a-lr ssp585","at_least_three_change_5",1,30
"rta",4,"ipsl-cm6a-lr ssp585","at_least_one_change_10",1,30
"rta",4,"ipsl-cm6a-lr ssp585","at_least_two_change_10",1,30
"rta",4,"ipsl-cm6a-lr ssp585","at_least_three_change_10",0.990818365528,30
"rta",4,"ipsl-cm6a-lr ssp585","at_least_one_change_25",1,30
"rta",4,"ipsl-cm6a-lr ssp585","at_least_two_change_25",0.922864463416,30
"rta",4,"ipsl-cm6a-lr ssp585","at_least_three_change_25",0.628088016584,30
"rta",6,"gfdl-esm4 ssp126","at_least_one_change_5",1,30
"rta",6,"gfdl-esm4 ssp126","at_least_two_change_5",0.99742873831552,30
"rta",6,"gfdl-esm4 ssp126","at_least_three_change_5",0.95533269808192,30
"rta",6,"gfdl-esm4 ssp126","at_least_one_change_10",0.9074411575372,30
"rta",6,"gfdl-esm4 ssp126","at_least_two_change_10",0.5917321074628,30
"rta",6,"gfdl-esm4 ssp126","at_least_three_change_10",0.2310752108044,30
"rta",6,"gfdl-esm4 ssp126","at_least_one_change_25",0.18181,30
"rta",6,"gfdl-esm4 ssp126","at_least_two_change_25",0.00908999999999993,30
"rta",6,"gfdl-esm4 ssp126","at_least_three_change_25",-6.76542155630955e-17,30
"rta",6,"gfdl-esm4 ssp585","at_least_one_change_5",1,30
"rta",6,"gfdl-esm4 ssp585","at_least_two_change_5",1,30
"rta",6,"gfdl-esm4 ssp585","at_least_three_change_5",0.9977968043416,30
"rta",6,"gfdl-esm4 ssp585","at_least_one_change_10",1,30
"rta",6,"gfdl-esm4 ssp585","at_least_two_change_10",1,30
"rta",6,"gfdl-esm4 ssp585","at_least_three_change_10",0.96694600573,30
"rta",6,"gfdl-esm4 ssp585","at_least_one_change_25",0.9735499282292,30
"rta",6,"gfdl-esm4 ssp585","at_least_two_change_25",0.7967815971449,30
"rta",6,"gfdl-esm4 ssp585","at_least_three_change_25",0.4443722092259,30
"rta",6,"ipsl-cm6a-lr ssp126","at_least_one_change_5",0.977048897727261,30
"rta",6,"ipsl-cm6a-lr ssp126","at_least_two_change_5",0.841622130050477,30
"rta",6,"ipsl-cm6a-lr ssp126","at_least_three_change_5",0.535389394495,30
"rta",6,"ipsl-cm6a-lr ssp126","at_least_one_change_10",0.819998674516866,30
"rta",6,"ipsl-cm6a-lr ssp126","at_least_two_change_10",0.437959183026444,30
"rta",6,"ipsl-cm6a-lr ssp126","at_least_three_change_10",0.135141913082471,30
"rta",6,"ipsl-cm6a-lr ssp126","at_least_one_change_25",0.18181,30
"rta",6,"ipsl-cm6a-lr ssp126","at_least_two_change_25",0.00908999999999993,30
"rta",6,"ipsl-cm6a-lr ssp126","at_least_three_change_25",-6.76542155630955e-17,30
"rta",6,"ipsl-cm6a-lr ssp585","at_least_one_change_5",1,30
"rta",6,"ipsl-cm6a-lr ssp585","at_least_two_change_5",0.999510303044993,30
"rta",6,"ipsl-cm6a-lr ssp585","at_least_three_change_5",0.98812440789347,30
"rta",6,"ipsl-cm6a-lr ssp585","at_least_one_change_10",1,30
"rta",6,"ipsl-cm6a-lr ssp585","at_least_two_change_10",0.997061818269958,30
"rta",6,"ipsl-cm6a-lr ssp585","at_least_three_change_10",0.957396584242416,30
"rta",6,"ipsl-cm6a-lr ssp585","at_least_one_change_25",0.876553753089588,30
"rta",6,"ipsl-cm6a-lr ssp585","at_least_two_change_25",0.543006475975633,30
"rta",6,"ipsl-cm6a-lr ssp585","at_least_three_change_25",0.202406466750573,30
"rta",7,"gfdl-esm4 ssp126","at_least_one_change_5",0.9959499504,30
"rta",7,"gfdl-esm4 ssp126","at_least_two_change_5",0.9346213552,30
"rta",7,"gfdl-esm4 ssp126","at_least_three_change_5",0.670056264,30
"rta",7,"gfdl-esm4 ssp126","at_least_one_change_10",0.9698746942,30
"rta",7,"gfdl-esm4 ssp126","at_least_two_change_10",0.6552342478,30
"rta",7,"gfdl-esm4 ssp126","at_least_three_change_10",0.2420507934,30
"rta",7,"gfdl-esm4 ssp126","at_least_one_change_25",0.36363,30
"rta",7,"gfdl-esm4 ssp126","at_least_two_change_25",0.02727,30
"rta",7,"gfdl-esm4 ssp126","at_least_three_change_25",1.73472347597681e-17,30
"rta",7,"gfdl-esm4 ssp585","at_least_one_change_5",1,30
"rta",7,"gfdl-esm4 ssp585","at_least_two_change_5",1,30
"rta",7,"gfdl-esm4 ssp585","at_least_three_change_5",0.998347438,30
"rta",7,"gfdl-esm4 ssp585","at_least_one_change_10",0.9995042314,30
"rta",7,"gfdl-esm4 ssp585","at_least_two_change_10",0.989381971,30
"rta",7,"gfdl-esm4 ssp585","at_least_three_change_10",0.9148456526,30
"rta",7,"gfdl-esm4 ssp585","at_least_one_change_25",0.880977355,30
"rta",7,"gfdl-esm4 ssp585","at_least_two_change_25",0.5189744625,30
"rta",7,"gfdl-esm4 ssp585","at_least_three_change_25",0.15865686,30
"rta",7,"ipsl-cm6a-lr ssp126","at_least_one_change_5",1,30
"rta",7,"ipsl-cm6a-lr ssp126","at_least_two_change_5",1,30
"rta",7,"ipsl-cm6a-lr ssp126","at_least_three_change_5",0.95868595,30
"rta",7,"ipsl-cm6a-lr ssp126","at_least_one_change_10",0.9206524514876,30
"rta",7,"ipsl-cm6a-lr ssp126","at_least_two_change_10",0.5162125609752,30
"rta",7,"ipsl-cm6a-lr ssp126","at_least_three_change_10",0.1377158135868,30
"rta",7,"ipsl-cm6a-lr ssp126","at_least_one_change_25",0.27272,30
"rta",7,"ipsl-cm6a-lr ssp126","at_least_two_change_25",0.01818,30
"rta",7,"ipsl-cm6a-lr ssp126","at_least_three_change_25",-2.42861286636753e-17,30
"rta",7,"ipsl-cm6a-lr ssp585","at_least_one_change_5",1,30
"rta",7,"ipsl-cm6a-lr ssp585","at_least_two_change_5",1,30
"rta",7,"ipsl-cm6a-lr ssp585","at_least_three_change_5",1,30
"rta",7,"ipsl-cm6a-lr ssp585","at_least_one_change_10",0.99933884299504,30
"rta",7,"ipsl-cm6a-lr ssp585","at_least_two_change_10",0.98782406077024,30
"rta",7,"ipsl-cm6a-lr ssp585","at_least_three_change_10",0.90975586259504,30
"rta",7,"ipsl-cm6a-lr ssp585","at_least_one_change_25",0.8379899159008,30
"rta",7,"ipsl-cm6a-lr ssp585","at_least_two_change_25",0.4638650134656,30
"rta",7,"ipsl-cm6a-lr ssp585","at_least_three_change_25",0.1410195053664,30
"rta",9,"gfdl-esm4 ssp126","at_least_one_change_5",0.9942157024876,30
"rta",9,"gfdl-esm4 ssp126","at_least_two_change_5",0.932098967146,30
"rta",9,"gfdl-esm4 ssp126","at_least_three_change_5",0.6969788572204,30
"rta",9,"gfdl-esm4 ssp126","at_least_one_change_10",0.83471942221075,30
"rta",9,"gfdl-esm4 ssp126","at_least_two_change_10",0.37051721714875,30
"rta",9,"gfdl-esm4 ssp126","at_least_three_change_10",0.0709317490702498,30
"rta",9,"gfdl-esm4 ssp126","at_least_one_change_25",0.1111,30
"rta",9,"gfdl-esm4 ssp126","at_least_two_change_25",-2.77555756156289e-17,30
"rta",9,"gfdl-esm4 ssp126","at_least_three_change_25",-2.77555756156289e-17,30
"rta",9,"gfdl-esm4 ssp585","at_least_one_change_5",1,30
"rta",9,"gfdl-esm4 ssp585","at_least_two_change_5",1,30
"rta",9,"gfdl-esm4 ssp585","at_least_three_change_5",0.996328007236,30
"rta",9,"gfdl-esm4 ssp585","at_least_one_change_10",1,30
"rta",9,"gfdl-esm4 ssp585","at_least_two_change_10",1,30
"rta",9,"gfdl-esm4 ssp585","at_least_three_change_10",0.993573002764,30
