"spatial_scale","regions","climates","type","probas","time_window"
"rta",4,"gfdl-esm4 ssp126","at_least_half_change_5",0.8872298148448,30
"rta",4,"gfdl-esm4 ssp126","at_least_half_bis_change_5",0.8872298148448,30
"rta",4,"gfdl-esm4 ssp126","at_least_half_change_10",0.1101952068,30
"rta",4,"gfdl-esm4 ssp126","at_least_half_bis_change_10",0.1101952068,30
"rta",4,"gfdl-esm4 ssp126","at_least_half_change_25",-2.77555756156289e-17,30
"rta",4,"gfdl-esm4 ssp126","at_least_half_bis_change_25",-2.77555756156289e-17,30
"rta",4,"gfdl-esm4 ssp585","at_least_half_change_5",0.98982775376272,30
"rta",4,"gfdl-esm4 ssp585","at_least_half_bis_change_5",0.98982775376272,30
"rta",4,"gfdl-esm4 ssp585","at_least_half_change_10",0.93554981759008,30
"rta",4,"gfdl-esm4 ssp585","at_least_half_bis_change_10",0.93554981759008,30
"rta",4,"gfdl-esm4 ssp585","at_least_half_change_25",0.175541177104,30
"rta",4,"gfdl-esm4 ssp585","at_least_half_bis_change_25",0.175541177104,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_half_change_5",0.9548249312314,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_half_bis_change_5",0.9548249312314,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_half_change_10",0.2667769584,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_half_bis_change_10",0.2667769584,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_half_change_25",0.00165256199999999,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_half_bis_change_25",0.00165256199999999,30
"rta",4,"ipsl-cm6a-lr ssp585","at_least_half_change_5",1,30
"rta",4,"ipsl-cm6a-lr ssp585","at_least_half_bis_change_5",1,30
"rta",4,"ipsl-cm6a-lr ssp585","at_least_half_change_10",0.990818365528,30
"rta",4,"ipsl-cm6a-lr ssp585","at_least_half_bis_change_10",0.990818365528,30
