"spatial_scale","regions","climates","type","probas","time_window"
"rta",4,"gfdl-esm4 ssp126","at_least_one_5_up",0.903587190427,30
"rta",4,"gfdl-esm4 ssp126","at_least_one_10_up",0.479322066,30
"rta",4,"gfdl-esm4 ssp126","at_least_one_25_up",0.1,30
"rta",4,"gfdl-esm4 ssp126","at_least_one_5_down",0.9807139025955,30
"rta",4,"gfdl-esm4 ssp126","at_least_one_10_down",0.56362,30
"rta",4,"gfdl-esm4 ssp126","at_least_one_25_down",0,30
"rta",4,"gfdl-esm4 ssp126","at_least_one_5_up_down",0.886160519858966,30
"rta",4,"gfdl-esm4 ssp126","at_least_one_10_up_down",0.27015550283892,30
"rta",4,"gfdl-esm4 ssp126","at_least_one_25_up_down",0,30
"rta",4,"gfdl-esm4 ssp126","at_least_two_5_down",0.8222044164775,30
"rta",4,"gfdl-esm4 ssp126","at_least_two_10_down",0.145445,30
"rta",4,"gfdl-esm4 ssp126","at_least_two_25_down",0,30
"rta",4,"gfdl-esm4 ssp126","at_least_three_5_down",0.4194755184045,30
"rta",4,"gfdl-esm4 ssp126","at_least_three_10_down",0.013635,30
"rta",4,"gfdl-esm4 ssp126","at_least_three_25_down",0,30
"rta",4,"gfdl-esm4 ssp585","at_least_one_5_up",0.876036502135,30
"rta",4,"gfdl-esm4 ssp585","at_least_one_10_up",0.826451102989,30
"rta",4,"gfdl-esm4 ssp585","at_least_one_25_up",0.490873636,30
"rta",4,"gfdl-esm4 ssp585","at_least_one_5_down",1,30
"rta",4,"gfdl-esm4 ssp585","at_least_one_10_down",1,30
"rta",4,"gfdl-esm4 ssp585","at_least_one_25_down",0.696248208292,30
"rta",4,"gfdl-esm4 ssp585","at_least_one_5_up_down",0.876036502135,30
"rta",4,"gfdl-esm4 ssp585","at_least_one_10_up_down",0.826451102989,30
"rta",4,"gfdl-esm4 ssp585","at_least_one_25_up_down",0.341769889562779,30
"rta",4,"gfdl-esm4 ssp585","at_least_two_5_down",0.97120335006208,30
"rta",4,"gfdl-esm4 ssp585","at_least_two_10_down",0.8785141330744,30
"rta",4,"gfdl-esm4 ssp585","at_least_two_25_down",0.26718521618,30
"rta",4,"gfdl-esm4 ssp585","at_least_three_5_down",0.77373633123968,30
"rta",4,"gfdl-esm4 ssp585","at_least_three_10_down",0.5340999834424,30
"rta",4,"gfdl-esm4 ssp585","at_least_three_25_down",0.0504945827639999,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_one_5_up",0.785757882087518,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_one_10_up",0.34543,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_one_25_up",0.18181,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_one_5_down",1,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_one_10_down",0.898192,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_one_25_down",0.1818,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_one_5_up_down",0.785757882087518,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_one_10_up_down",0.31026246256,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_one_25_up_down",0.033053058,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_two_5_down",0.947108246438945,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_two_10_down",0.523656,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_two_25_down",-2.77555756156289e-17,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_three_5_down",0.681901622361183,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_three_10_down",0.114552,30
"rta",4,"ipsl-cm6a-lr ssp126","at_least_three_25_down",-2.77555756156289e-17,30
"rta",4,"ipsl-cm6a-lr ssp585","at_least_one_5_up",0.801658403416,30
"rta",4,"ipsl-cm6a-lr ssp585","at_least_one_10_up",0.691422441528,30
"rta",4,"ipsl-cm6a-lr ssp585","at_least_one_25_up",0.345431818,30
"rta",4,"ipsl-cm6a-lr ssp585","at_least_one_5_down",1,30
"rta",4,"ipsl-cm6a-lr ssp585","at_least_one_10_down",1,30
"rta",4,"ipsl-cm6a-lr ssp585","at_least_one_25_down",1,30
"rta",4,"ipsl-cm6a-lr ssp585","at_least_one_5_up_down",0.801658403416,30
