UNION,SOVEREIGN1,signatories
Estonia,Estonia,Estonia
Cameroon,Cameroon,Cameroon
Finland,Finland,Finland
Bassas da India,France,France
Faeroe,Denmark,Denmark
Gilbert Islands,Kiribati,Kiribati
Nigeria,Nigeria,Nigeria
Pakistan,Pakistan,Pakistan
Syria,Syria,NA
Philippines,Philippines,Philippines
Bahrain,Bahrain,NA
British Virgin Islands,United Kingdom,United Kingdom
Cuba,Cuba,Cuba
Johnston Atoll,United States,NA
Guyana,Guyana,Guyana
Seychelles,Seychelles,Seychelles
Phoenix Group,Kiribati,Kiribati
Overlapping claim South China Sea,China,China
Equatorial Guinea,Equatorial Guinea,Equatorial Guinea
Vietnam,Vietnam,NA
Panama,Panama,Panama
Gabon,Gabon,Gabon
Sao Tome and Principe,Sao Tome and Principe,NA
North Korea,North Korea,NA
Saba,Netherlands,Netherlands
Northern Mariana Islands,United States,NA
Senegal,Senegal,Senegal
Jordan,Jordan,Jordan
Saudi Arabia,Saudi Arabia,NA
Serranilla Bank,Colombia,Colombia
French Guiana,France,France
Hawaii,United States,NA
Iran,Iran,Iran
Crozet Islands,France,France
Georgia,Georgia,Georgia
Guinea-Bissau,Guinea-Bissau,Guinea-Bissau
Turks and Caicos Islands,United Kingdom,United Kingdom
Mauritania,Mauritania,NA
Micronesia,Micronesia,NA
New Caledonia,France,France
Mexico,Mexico,Mexico
Portugal,Portugal,Portugal
Wallis and Futuna,France,France
Macquarie Island,Australia,Australia
Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis
United Arab Emirates,United Arab Emirates,United Arab Emirates
Saint Helena,United Kingdom,United Kingdom
United Kingdom,United Kingdom,United Kingdom
Uruguay,Uruguay,Uruguay
Thailand,Thailand,Thailand
Latvia,Latvia,Latvia
Bulgaria,Bulgaria,Bulgaria
Suriname,Suriname,Suriname
Sudan,Sudan,Sudan
Togo,Togo,Togo
Cape Verde,Cape Verde,NA
Kenya,Kenya,Kenya
Angola,Angola,Angola
Easter Island,Chile,Chile
Réunion,France,France
Tuvalu,Tuvalu,Tuvalu
Norway,Norway,Norway
Puerto Rico,United States,NA
Jamaica,Jamaica,Jamaica
East Timor,East Timor,NA
Andaman and Nicobar,India,India
Azores,Portugal,Portugal
Myanmar,Myanmar,Myanmar
Federal Republic of Somalia,Federal Republic of Somalia,NA
Romania,Romania,Romania
Canada,Canada,Canada
Algeria,Algeria,Algeria
South Africa,South Africa,South Africa
Tonga,Tonga,Tonga
Djibouti,Djibouti,Djibouti
Sint-Maarten,Netherlands,Netherlands
Greece,Greece,Greece
Slovenia,Slovenia,Slovenia
Colombia,Colombia,Colombia
Nicaragua,Nicaragua,Nicaragua
Turkey,Turkey,NA
Sri Lanka,Sri Lanka,Sri Lanka
New Zealand,New Zealand,New Zealand
Cook Islands,New Zealand,New Zealand
Brunei,Brunei,NA
Jersey,United Kingdom,United Kingdom
China,China,China
Amsterdam and Saint Paul Islands,France,France
Croatia,Croatia,Croatia
Iraq,Iraq,Iraq
Chile,Chile,Chile
Netherlands,Netherlands,Netherlands
Ivory Coast,Ivory Coast,NA
Grenada,Grenada,Grenada
Norfolk Island,Australia,Australia
Guadeloupe,France,France
Bahamas,Bahamas,Bahamas
Qatar,Qatar,Qatar
United States,United States,NA
Brazil,Brazil,Brazil
South Korea,South Korea,NA
Heard and McDonald Islands,Australia,Australia
Trinidade,Brazil,Brazil
Wake Island,United States,NA
Greenland,Denmark,Denmark
Galapagos,Ecuador,Ecuador
Haiti,Haiti,Haiti
Howland and Baker islands,United States,NA
Papua New Guinea,Papua New Guinea,Papua New Guinea
Alaska,United States,NA
Saint-Barthélemy,France,France
Tanzania,Tanzania,Tanzania
Sierra Leone,Sierra Leone,Sierra Leone
Bangladesh,Bangladesh,Bangladesh
Fiji,Fiji,Fiji
Israel,Israel,Israel
El Salvador,El Salvador,El Salvador
French Polynesia,France,France
Cayman Islands,United Kingdom,United Kingdom
Maldives,Maldives,Maldives
Tunisia,Tunisia,Tunisia
Nauru,Nauru,Nauru
Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago
Cocos Islands,Australia,Australia
Martinique,France,France
Costa Rica,Costa Rica,Costa Rica
Kuwait,Kuwait,NA
Kazakhstan,Kazakhstan,Kazakhstan
Guernsey,United Kingdom,United Kingdom
Indonesia,Indonesia,Indonesia
Ireland,Ireland,Ireland
Marshall Islands,Marshall Islands,Marshall Islands
Antarctica,Antarctica,NA
Malta,Malta,Malta
Cambodia,Cambodia,Cambodia
Republic of Mauritius,Republic of Mauritius,NA
Guam,United States,NA
Saint Lucia,Saint Lucia,Saint Lucia
Solomon Islands,Solomon Islands,Solomon Islands
Eritrea,Eritrea,Eritrea
Ecuador,Ecuador,Ecuador
Morocco,Morocco,Morocco
Comores,Comores,NA
Jan Mayen,Norway,Norway
Malaysia,Malaysia,Malaysia
Prince Edward Islands,South Africa,South Africa
Madeira,Portugal,Portugal
France,France,France
Europa Island,France,France
Guinea,Guinea,Guinea
Dominican Republic,Dominican Republic,Dominican Republic
Bermuda,United Kingdom,United Kingdom
Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda
Svalbard,Norway,Norway
Yemen,Yemen,Yemen
Mozambique,Mozambique,Mozambique
Collectivity of Saint Martin,France,France
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
Jarvis Island,United States,NA
Kerguélen,France,France
Liberia,Liberia,Liberia
Venezuela,Venezuela,NA
Dominica,Dominica,Dominica
Christmas Island,Australia,Australia
United States Virgin Islands,United States,NA
Lithuania,Lithuania,Lithuania
