"regions","climates","at_least_one_shock","at_least_two_shocks","at_least_three_shocks","time_window"
"Afghanistan","gfdl-esm4 ssp126",1,0.458823323670529,0.0294954091428434,30
"Afghanistan","gfdl-esm4 ssp585",0.970934048962666,0.23604562327355,0.00165256199999997,30
"Afghanistan","ipsl-cm6a-lr ssp126",0.995913253054899,0.161006607123737,0,30
"Afghanistan","ipsl-cm6a-lr ssp585",0.996373593325192,0.247402211849032,-2.22044604925031e-16,30
"Albania","gfdl-esm4 ssp126",0.995963401603063,0.366082608211905,0.0288174239563557,30
"Albania","gfdl-esm4 ssp585",0.997329046178821,0.311278675251194,0.0061971074999998,30
"Albania","ipsl-cm6a-lr ssp126",0.994271373805535,0.148446065883675,-4.44089209850063e-16,30
"Albania","ipsl-cm6a-lr ssp585",0.999863469217554,0.515046411017642,0.0232976878476954,30
"Algeria","gfdl-esm4 ssp126",0.999850536081192,0.712042673835263,0.141509613755814,30
"Algeria","gfdl-esm4 ssp585",0.991811081125147,0.238712990889553,0,30
"Algeria","ipsl-cm6a-lr ssp126",0.96934078300195,0.0793985941402916,1.11022302462516e-16,30
"Algeria","ipsl-cm6a-lr ssp585",0.999802213872891,0.403564039304759,1.11022302462516e-16,30
"Andorra","gfdl-esm4 ssp126",0.96965063003342,0.01818,NA,30
"Andorra","gfdl-esm4 ssp585",0.739187709972607,0,NA,30
"Andorra","ipsl-cm6a-lr ssp126",0.952784182309381,0.01818,NA,30
"Andorra","ipsl-cm6a-lr ssp585",0.901230093989639,0,NA,30
"Angola","gfdl-esm4 ssp126",0.996130031489526,0.342543130125,0.040905,30
"Angola","gfdl-esm4 ssp585",0.955289653457226,0,0,30
"Angola","ipsl-cm6a-lr ssp126",0.796774708429452,0,0,30
"Angola","ipsl-cm6a-lr ssp585",1,0,0,30
"Antarctica","gfdl-esm4 ssp126",0.7626953125,NA,NA,30
"Antarctica","gfdl-esm4 ssp585",0,NA,NA,30
"Antarctica","ipsl-cm6a-lr ssp126",0.936487705469225,NA,NA,30
"Antarctica","ipsl-cm6a-lr ssp585",0.537050927037,NA,NA,30
