"regions","climates","at_least_two_shocks_down","at_least_three_shocks_down","time_window","at_least_one_shock_up_down","at_least_one_shock_up","at_least_one_shock_down"
"Afghanistan","gfdl-esm4 ssp126",0.434115860438738,0.0420055341222539,30,0.289625687252006,0.857183694611075,1
"Afghanistan","gfdl-esm4 ssp585",0.198163440911389,0,30,0.102236486915006,0.825864044189949,0.938322404395594
"Afghanistan","ipsl-cm6a-lr ssp126",0.149700408270187,0.00300266531000892,30,0.0313002253272645,0.81226332771181,0.984829393525363
"Afghanistan","ipsl-cm6a-lr ssp585",0.276036678448757,0.0164473263865592,30,0.310864036707796,0.916062283232078,0.988648514520852
"Albania","gfdl-esm4 ssp126",0.49874631300009,0.143565409960069,30,0.201812059088347,0.972301846307777,0.992904915512172
"Albania","gfdl-esm4 ssp585",0.267821351873557,0.012727902549214,30,0.29593647380924,0.999497382105872,0.974297795936633
"Albania","ipsl-cm6a-lr ssp126",0.204178586408788,0.0134043946878677,30,0.146401145453403,0.962529804222236,0.988776554491039
"Albania","ipsl-cm6a-lr ssp585",0.359351928533737,0.0289096349740957,30,0.430475358277481,0.998773893617287,0.999147453948253
"Algeria","gfdl-esm4 ssp126",0.157387266765879,-2.22044604925031e-16,30,0.57559235868647,0.984855563498024,0.98967718041871
"Algeria","gfdl-esm4 ssp585",0.17372031489446,0,30,0.0838061900048198,0.806403816559683,0.956303046143702
"Algeria","ipsl-cm6a-lr ssp126",0,0,30,0.0793985941402915,0.775114238281162,0.862290804865674
"Algeria","ipsl-cm6a-lr ssp585",0.170347303594599,0,30,0.253286160973451,0.989607621876342,0.974462358345293
"Andorra","gfdl-esm4 ssp126",0.249934612201701,1.11022302462516e-16,30,0.0616965934649276,0.538119718583037,0.996544824976786
"Andorra","gfdl-esm4 ssp585",0.287746007060784,0.0179810154695714,30,0.0784865879183794,0.747606606655751,0.977376118333096
"Andorra","ipsl-cm6a-lr ssp126",0.199400899155456,0,30,0.0640785777180074,0.533455297893603,0.991843075064002
"Andorra","ipsl-cm6a-lr ssp585",0.176541926672508,1.11022302462516e-16,30,0.13451829761427,0.937564975783716,0.982723439077522
"Angola","gfdl-esm4 ssp126",0.223432446649312,0.00206570250000004,30,0.421144359357411,0.983840192883871,0.994222198537601
"Angola","gfdl-esm4 ssp585",0.08966197747627,0,30,0.0676778910275961,0.976337034911782,0.857845644245008
"Angola","ipsl-cm6a-lr ssp126",0.107427438,0.00495768600000013,30,0.0825641016433314,0.965093963394664,0.900051994143928
"Angola","ipsl-cm6a-lr ssp585",0.0522847484568,1.11022302462516e-16,30,0.329097923911378,0.96064854777604,1
"Antarctica","gfdl-esm4 ssp126",0,0,30,0,0.4375,0.578125
"Antarctica","gfdl-esm4 ssp585",0,0,30,0,0,0
"Antarctica","ipsl-cm6a-lr ssp126",0,0,30,0,0.885679012825835,0.44443889
"Antarctica","ipsl-cm6a-lr ssp585",0,0,30,0,0.44443889,0.1667
"Antigua and Barbuda","gfdl-esm4 ssp126",0,0,30,0.2,0.8125,0.97
"Antigua and Barbuda","gfdl-esm4 ssp585",0,0,30,0,0.8125,0.976
"Antigua and Barbuda","ipsl-cm6a-lr ssp126",0,0,30,0.13334,0.807141200463068,0.938275925999989
"Antigua and Barbuda","ipsl-cm6a-lr ssp585",0,0,30,0,0.94443889,0.96528194427778
"Argentina","gfdl-esm4 ssp126",0.81125829635953,0.273766998770737,30,0.726814006934912,0.934170890861484,1
"Argentina","gfdl-esm4 ssp585",0.598604101172525,0.219054263500706,30,0.57677042092178,0.940262190877898,1
"Argentina","ipsl-cm6a-lr ssp126",0.795157775707913,0.22536912536321,30,0.525841514804773,0.882667806422939,0.999943969554343
"Argentina","ipsl-cm6a-lr ssp585",0.739118725196002,0.190915460274349,30,0.394285758987395,0.784512201697504,1
"Armenia","gfdl-esm4 ssp126",0.0407701143085524,0,30,0.0858269540083362,0.842903635035832,0.931569355668655
"Armenia","gfdl-esm4 ssp585",0.156201851487452,0,30,0.130340328346608,0.908967182843483,0.972263417501471
"Armenia","ipsl-cm6a-lr ssp126",0.157548813629096,0.00330512399999994,30,0.161246537892718,0.788799470278844,0.984335255406412
"Armenia","ipsl-cm6a-lr ssp585",0.595964636085574,0.0732543887185991,30,0.65933668909484,0.997876990738762,0.999967727626179
"Australia","gfdl-esm4 ssp126",0.616942722920872,0.0143758483246356,30,0.972158565258598,0.992302399142476,1
"Australia","gfdl-esm4 ssp585",0.0437729666552883,0.00279953562871171,30,0.541850484352272,0.988409906011634,1
"Australia","ipsl-cm6a-lr ssp126",0.0678600312091897,0.00300435771599983,30,0.237073828773021,0.994644436577016,0.79178904254441
