"regions","climates","spans","at_least_one_shock","at_least_two_shocks","at_least_three_shocks","time_window"
"Afghanistan","gfdl-esm4 ssp126","shock_0.25",1,0.688407813924298,0.134665510673501,30
"Afghanistan","gfdl-esm4 ssp585","shock_0.25",0.99155230511947,0.336925557141722,0.0187844234332,30
"Afghanistan","ipsl-cm6a-lr ssp126","shock_0.25",0.99870639408805,0.435052287463915,0.043086519530969,30
"Afghanistan","ipsl-cm6a-lr ssp585","shock_0.25",0.99992985352391,0.605208120527205,0.0411317709926007,30
"Albania","gfdl-esm4 ssp126","shock_0.25",0.999986895208492,0.89500944876694,0.202719408036201,30
"Albania","gfdl-esm4 ssp585","shock_0.25",0.999998907096079,0.938942174962835,0.304625118267045,30
"Albania","ipsl-cm6a-lr ssp126","shock_0.25",0.997080183297904,0.40236946681956,0.0277824467107234,30
"Albania","ipsl-cm6a-lr ssp585","shock_0.25",0.999999863703503,0.945796460534366,0.403297781764493,30
"Algeria","gfdl-esm4 ssp126","shock_0.25",0.999947099603722,0.69156171600161,0.145672725520586,30
"Algeria","gfdl-esm4 ssp585","shock_0.25",0.99587265337559,0.22677798504435,-2.22044604925031e-16,30
"Algeria","ipsl-cm6a-lr ssp126","shock_0.25",0.992341125187239,0.167924902496562,0.00495768599999991,30
"Algeria","ipsl-cm6a-lr ssp585","shock_0.25",0.999966569729431,0.54082295425118,0.0120838787283742,30
"Andorra","gfdl-esm4 ssp126","shock_0.25",0.999427708497021,0.442839256274645,0.031626350117649,30
"Andorra","gfdl-esm4 ssp585","shock_0.25",0.998649382644751,0.49883251473531,0.0256775445786044,30
"Andorra","ipsl-cm6a-lr ssp126","shock_0.25",0.980065970583651,0.160165245102021,0.00605939399999977,30
"Andorra","ipsl-cm6a-lr ssp585","shock_0.25",0.998535180670966,0.284689482670062,0.00504541541603909,30
"Angola","gfdl-esm4 ssp126","shock_0.25",0.999980859196572,0.743345051587239,0.107428076509302,30
"Angola","gfdl-esm4 ssp585","shock_0.25",0.999594208424233,0.412304580374958,0.00504949499999996,30
"Angola","ipsl-cm6a-lr ssp126","shock_0.25",1,0.427317504544441,0.0216236241768799,30
"Angola","ipsl-cm6a-lr ssp585","shock_0.25",1,0.523181161886123,0.0100989899999999,30
"Antarctica","gfdl-esm4 ssp126","shock_0.25",0.578125,NA,NA,30
"Antarctica","gfdl-esm4 ssp585","shock_0.25",0.25,NA,NA,30
"Antarctica","ipsl-cm6a-lr ssp126","shock_0.25",0.91731989144635,NA,NA,30
"Antarctica","ipsl-cm6a-lr ssp585","shock_0.25",0.517824069444568,NA,NA,30
"Antigua and Barbuda","gfdl-esm4 ssp126","shock_0.25",1,0,NA,30
"Antigua and Barbuda","gfdl-esm4 ssp585","shock_0.25",1,0,NA,30
"Antigua and Barbuda","ipsl-cm6a-lr ssp126","shock_0.25",0.966518574078108,0.166675,NA,30
"Antigua and Barbuda","ipsl-cm6a-lr ssp585","shock_0.25",1,0.1667,NA,30
"Argentina","gfdl-esm4 ssp126","shock_0.25",1,0.9625929435508,0.484712218435326,30
"Argentina","gfdl-esm4 ssp585","shock_0.25",0.999829840598882,0.590229330287267,0.0661916878502161,30
"Argentina","ipsl-cm6a-lr ssp126","shock_0.25",0.999996979115417,0.936456805322019,0.42646319821491,30
"Argentina","ipsl-cm6a-lr ssp585","shock_0.25",1,0.905656523122848,0.375168601246063,30
"Armenia","gfdl-esm4 ssp126","shock_0.25",0.99823483799201,0.476693596807623,0.0624070568573233,30
"Armenia","gfdl-esm4 ssp585","shock_0.25",0.999690878982574,0.468802118159095,0.0315338538685407,30
"Armenia","ipsl-cm6a-lr ssp126","shock_0.25",0.999325114221415,0.40811998296418,0.015986397421729,30
