"regions","climates","spans","at_least_half_shocks","at_least_half_bis_shocks","time_window"
"Afghanistan","gfdl-esm4 ssp126","shock_0.25",0.688407813924298,0.688407813924298,30
"Afghanistan","gfdl-esm4 ssp585","shock_0.25",0.336925557141722,0.336925557141722,30
"Afghanistan","ipsl-cm6a-lr ssp126","shock_0.25",0.435052287463915,0.435052287463915,30
"Afghanistan","ipsl-cm6a-lr ssp585","shock_0.25",0.605208120527205,0.605208120527205,30
"Albania","gfdl-esm4 ssp126","shock_0.25",0.202719408036201,0.202719408036201,30
"Albania","gfdl-esm4 ssp585","shock_0.25",0.304625118267045,0.304625118267045,30
"Albania","ipsl-cm6a-lr ssp126","shock_0.25",0.0277824467107234,0.0277824467107234,30
"Albania","ipsl-cm6a-lr ssp585","shock_0.25",0.403297781764493,0.403297781764493,30
"Algeria","gfdl-esm4 ssp126","shock_0.25",0.69156171600161,0.69156171600161,30
"Algeria","gfdl-esm4 ssp585","shock_0.25",0.22677798504435,0.22677798504435,30
"Algeria","ipsl-cm6a-lr ssp126","shock_0.25",0.167924902496562,0.167924902496562,30
"Algeria","ipsl-cm6a-lr ssp585","shock_0.25",0.54082295425118,0.54082295425118,30
"Andorra","gfdl-esm4 ssp126","shock_0.25",0.442839256274645,0.442839256274645,30
"Andorra","gfdl-esm4 ssp585","shock_0.25",0.49883251473531,0.49883251473531,30
"Andorra","ipsl-cm6a-lr ssp126","shock_0.25",0.160165245102021,0.160165245102021,30
"Andorra","ipsl-cm6a-lr ssp585","shock_0.25",0.284689482670062,0.284689482670062,30
"Angola","gfdl-esm4 ssp126","shock_0.25",0.107428076509302,0.498794245758105,30
"Angola","gfdl-esm4 ssp585","shock_0.25",0.00504949499999996,0.228577873090578,30
"Angola","ipsl-cm6a-lr ssp126","shock_0.25",0.0216236241768799,0.245885135408289,30
"Angola","ipsl-cm6a-lr ssp585","shock_0.25",0.0100989899999999,0.302416543932672,30
"Antarctica","gfdl-esm4 ssp126","shock_0.25",NA,NA,30
"Antarctica","gfdl-esm4 ssp585","shock_0.25",NA,NA,30
"Antarctica","ipsl-cm6a-lr ssp126","shock_0.25",NA,NA,30
"Antarctica","ipsl-cm6a-lr ssp585","shock_0.25",NA,NA,30
"Antigua and Barbuda","gfdl-esm4 ssp126","shock_0.25",1,1,30
"Antigua and Barbuda","gfdl-esm4 ssp585","shock_0.25",1,1,30
"Antigua and Barbuda","ipsl-cm6a-lr ssp126","shock_0.25",0.966518574078108,0.966518574078108,30
"Antigua and Barbuda","ipsl-cm6a-lr ssp585","shock_0.25",1,1,30
"Argentina","gfdl-esm4 ssp126","shock_0.25",0.484712218435326,0.484712218435326,30
"Argentina","gfdl-esm4 ssp585","shock_0.25",0.0661916878502161,0.0661916878502161,30
"Argentina","ipsl-cm6a-lr ssp126","shock_0.25",0.42646319821491,0.42646319821491,30
"Argentina","ipsl-cm6a-lr ssp585","shock_0.25",0.375168601246063,0.375168601246063,30
"Armenia","gfdl-esm4 ssp126","shock_0.25",0.0624070568573233,0.291280152931793,30
"Armenia","gfdl-esm4 ssp585","shock_0.25",0.0315338538685407,0.276326652092022,30
"Armenia","ipsl-cm6a-lr ssp126","shock_0.25",0.015986397421729,0.232976647623765,30
"Armenia","ipsl-cm6a-lr ssp585","shock_0.25",0.264217252215443,0.759012627439276,30
"Australia","gfdl-esm4 ssp126","shock_0.25",0.397661584294086,0.397661584294086,30
"Australia","gfdl-esm4 ssp585","shock_0.25",0.227120996092597,0.227120996092597,30
"Australia","ipsl-cm6a-lr ssp126","shock_0.25",0.0827943614067167,0.0827943614067167,30
"Australia","ipsl-cm6a-lr ssp585","shock_0.25",0.23459931629446,0.23459931629446,30
"Austria","gfdl-esm4 ssp126","shock_0.25",0.629418194308375,0.629418194308375,30
"Austria","gfdl-esm4 ssp585","shock_0.25",0.48370370611312,0.48370370611312,30
"Austria","ipsl-cm6a-lr ssp126","shock_0.25",0.498576347650518,0.498576347650518,30
"Austria","ipsl-cm6a-lr ssp585","shock_0.25",0.60445985141381,0.60445985141381,30
"Azerbaijan","gfdl-esm4 ssp126","shock_0.25",0.0063248074757325,0.146851579601006,30
"Azerbaijan","gfdl-esm4 ssp585","shock_0.25",0.0143586232369807,0.176445956013558,30
"Azerbaijan","ipsl-cm6a-lr ssp126","shock_0.25",0.138572693046983,0.138572693046983,30
"Azerbaijan","ipsl-cm6a-lr ssp585","shock_0.25",0.233946880891615,0.233946880891615,30
"Bahamas","gfdl-esm4 ssp126","shock_0.25",0.381760030875172,0.381760030875172,30
"Bahamas","gfdl-esm4 ssp585","shock_0.25",0.525805991542107,0.525805991542107,30
