"regions","climates","spans","at_least_two_shocks_down","at_least_three_shocks_down","time_window","at_least_one_shock_up_down","at_least_one_shock_up","at_least_one_shock_down","at_least_two_shocks_up","at_least_three_shocks_up"
"Afghanistan","gfdl-esm4 ssp126","0.25",0.541973327471839,0.0871409618234078,30,0.31431304172995,0.805004295983679,1,0.0346676080070452,0.000917998190999914
"Afghanistan","gfdl-esm4 ssp585","0.25",0.160589157025923,0.00769675539671821,30,0.183669450589095,0.864021014877536,0.93787499683924,0.0400899912029395,0
"Afghanistan","ipsl-cm6a-lr ssp126","0.25",0.188897075346938,0.00641587468885563,30,0.254962648775468,0.88132598068222,0.989099501985465,0.0921193637061681,0.00275399457299985
"Afghanistan","ipsl-cm6a-lr ssp585","0.25",0.395939209398141,0.0146879710559998,30,0.337700495484105,0.956409180913844,0.997890004510449,0.12595365914524,0.00642093101292773
"Albania","gfdl-esm4 ssp126","0.25",0.754011849554462,0.0766393669937999,30,0.253902338479804,0.988432808188928,0.998648914714554,0.44914430346072,0.0727260599999999
"Albania","gfdl-esm4 ssp585","0.25",0.608255068007418,0.0849271231563387,30,0.303326801314996,0.999585725615573,0.997236572127646,0.789085534084986,0.190153007707165
"Albania","ipsl-cm6a-lr ssp126","0.25",0.228615230310149,0.0162482628556445,30,0.168360392066035,0.955806726125962,0.930093512139541,0.0948669560474088,0.00448799115599985
"Albania","ipsl-cm6a-lr ssp585","0.25",0.385726737910036,0.0188635813572378,30,0.474721157976889,0.99985922924358,0.998996452797275,0.841642857695367,0.295502626349404
"Algeria","gfdl-esm4 ssp126","0.25",0.184871625004307,-2.22044604925031e-16,30,0.555057245364222,0.994377615455293,0.990591110256352,0.236909422474399,0
"Algeria","gfdl-esm4 ssp585","0.25",0.146975981718493,0,30,0.101104094249874,0.843183258223818,0.973082416887036,0.00826280999999995,0
"Algeria","ipsl-cm6a-lr ssp126","0.25",0,0,30,0.163889552963842,0.863134947689508,0.941468791133924,0.0409044058254233,0
"Algeria","ipsl-cm6a-lr ssp585","0.25",0.356236817643832,0,30,0.237701526205021,0.993790703467279,0.993820110505984,0.124623288944729,0
"Andorra","gfdl-esm4 ssp126","0.25",0.254061889788214,0.00302969699999989,30,0.226436279826336,0.658045205129233,0.998326411819447,0.0570532301326597,0.00201979799999985
"Andorra","gfdl-esm4 ssp585","0.25",0.422462726331387,0.0146913361061279,30,0.121315897922064,0.803684871725209,0.993034158476695,0.0210967902210999,0
"Andorra","ipsl-cm6a-lr ssp126","0.25",0.105427939894247,0,30,0.07295032353763,0.575839700191326,0.951821292909611,0.01111,0
"Andorra","ipsl-cm6a-lr ssp585","0.25",0.124699228399396,1.11022302462516e-16,30,0.133115271805148,0.95060962664675,0.96783372803534,0.112362980124655,0.00403959599999981
"Angola","gfdl-esm4 ssp126","0.25",0.343774321375248,0.00605429452004869,30,0.604437348894943,0.994773327011385,0.996202260041422,0.0990025431999999,0
"Angola","gfdl-esm4 ssp585","0.25",0.268248006726428,0,30,0.106635480780772,0.980889060683673,0.978766528999447,0.101,0.00504949499999996
