"regions","climates","at_least_two_shocks_down","at_least_three_shocks_down","time_window","at_least_one_shock_up_down"
"Abu musa, Greater and Lesser Tunb","gfdl-esm4 ssp126",0,0,30,0
"Abu musa, Greater and Lesser Tunb","gfdl-esm4 ssp585",0,0,30,0
"Abu musa, Greater and Lesser Tunb","ipsl-cm6a-lr ssp126",0,0,30,0
"Abu musa, Greater and Lesser Tunb","ipsl-cm6a-lr ssp585",0,0,30,0
"Afghanistan","gfdl-esm4 ssp126",0.455749943926456,0.0381202503656662,30,0.224641399379421
"Afghanistan","gfdl-esm4 ssp585",0.2892278925,0.020657025,30,0.0802194008701166
"Afghanistan","ipsl-cm6a-lr ssp126",0.197433887977913,0.00918060433097345,30,0.015774530571
"Afghanistan","ipsl-cm6a-lr ssp585",0.275886493085376,0.018682522004616,30,0.22636705000909
"Alaska","gfdl-esm4 ssp126",0,0,30,0
"Alaska","gfdl-esm4 ssp585",0.125,0,30,0
"Alaska","ipsl-cm6a-lr ssp126",0.5,0,30,0
"Alaska","ipsl-cm6a-lr ssp585",0,0,30,0
"Albania","gfdl-esm4 ssp126",0.424764302603458,0.0954997824673869,30,0.19198654897381
"Albania","gfdl-esm4 ssp585",0.257503409338691,0.0127189373990444,30,0.332133392206566
"Albania","ipsl-cm6a-lr ssp126",0.21487108841155,0.0146801498533925,30,0.172418797294695
"Albania","ipsl-cm6a-lr ssp585",0.319077095282186,0.0252512170007958,30,0.462952721264114
"Algeria","gfdl-esm4 ssp126",0.0769990611419998,-2.22044604925031e-16,30,0.590534250162424
"Algeria","gfdl-esm4 ssp585",0.180721249107009,-2.22044604925031e-16,30,0.038141054363774
"Algeria","ipsl-cm6a-lr ssp126",0.0991719,0,30,0.0327781438836157
"Algeria","ipsl-cm6a-lr ssp585",0.170404895130769,0,30,0.33182642378476
"Alhucemas Islands","gfdl-esm4 ssp126",0,0,30,0
"Alhucemas Islands","gfdl-esm4 ssp585",0.022725,0,30,0.0588313431430423
"Alhucemas Islands","ipsl-cm6a-lr ssp126",0.4545,0,30,0
"Alhucemas Islands","ipsl-cm6a-lr ssp585",0.117533332837447,0,30,0.075766160202
"American Samoa","gfdl-esm4 ssp126",0,0,30,0
"American Samoa","gfdl-esm4 ssp585",0,0,30,0
"American Samoa","ipsl-cm6a-lr ssp126",0,0,30,0.249975
"American Samoa","ipsl-cm6a-lr ssp585",0.08335,0,30,0.17248912050925
"Amsterdam and Saint Paul Islands","gfdl-esm4 ssp126",0,0,30,0
"Amsterdam and Saint Paul Islands","gfdl-esm4 ssp585",0,0,30,0
"Amsterdam and Saint Paul Islands","ipsl-cm6a-lr ssp126",0,0,30,0
"Amsterdam and Saint Paul Islands","ipsl-cm6a-lr ssp585",0,0,30,0
"Andaman and Nicobar","gfdl-esm4 ssp126",0.0625,0,30,0
"Andaman and Nicobar","gfdl-esm4 ssp585",0,0,30,0
"Andaman and Nicobar","ipsl-cm6a-lr ssp126",0,0,30,0
"Andaman and Nicobar","ipsl-cm6a-lr ssp585",0,0,30,0
"Andorra","gfdl-esm4 ssp126",0.235593167161692,0,30,0.015774530571
"Andorra","gfdl-esm4 ssp585",0.287746007060784,0.0179810154695714,30,0.0907274190148486
"Andorra","ipsl-cm6a-lr ssp126",0.199400899155456,0,30,0.00826280999999995
"Andorra","ipsl-cm6a-lr ssp585",0.196073114047159,-2.22044604925031e-16,30,0.150111001692581
"Angola","gfdl-esm4 ssp126",0.126356712035158,0,30,0.275297227695381
"Angola","gfdl-esm4 ssp585",0.200635898947309,0,30,0.090661385589721
"Angola","ipsl-cm6a-lr ssp126",0.068175,0,30,0.0916676683858795
"Angola","ipsl-cm6a-lr ssp585",0.113249470808875,0,30,0.254870817120043
"Anguilla","gfdl-esm4 ssp126",0,0,30,0
"Anguilla","gfdl-esm4 ssp585",0,0,30,0.5625
"Anguilla","ipsl-cm6a-lr ssp126",0,0,30,0
"Anguilla","ipsl-cm6a-lr ssp585",0,0,30,0
"Antarctica","gfdl-esm4 ssp126",0,0,30,0
"Antarctica","gfdl-esm4 ssp585",0,0,30,0
"Antarctica","ipsl-cm6a-lr ssp126",0,0,30,0
"Antarctica","ipsl-cm6a-lr ssp585",0,0,30,0
"Antigua and Barbuda","gfdl-esm4 ssp126",0,0,30,0.25
"Antigua and Barbuda","gfdl-esm4 ssp585",0,0,30,0
"Antigua and Barbuda","ipsl-cm6a-lr ssp126",0,0,30,0.166675
"Antigua and Barbuda","ipsl-cm6a-lr ssp585",0,0,30,0
"Argentina","gfdl-esm4 ssp126",0.847552943130043,0.318732051421196,30,0.776407630057675
"Argentina","gfdl-esm4 ssp585",0.36052924149083,0.0818778368519998,30,0.538301874776966
"Argentina","ipsl-cm6a-lr ssp126",0.917983827458576,0.433150246854064,30,0.489418646961651
"Argentina","ipsl-cm6a-lr ssp585",0.654382639185018,0.110644089492512,30,0.379019801549134
"Armenia","gfdl-esm4 ssp126",0.0989577238653696,0.00300435771599994,30,0.107622145446052
"Armenia","gfdl-esm4 ssp585",0.167019845953247,0.0022532682869999,30,0.156323714077874
"Armenia","ipsl-cm6a-lr ssp126",0.122040253351513,0.00206570249999993,30,0.22662987808411
"Armenia","ipsl-cm6a-lr ssp585",0.617556663302526,0.0782532251213115,30,0.613459844258871
"Aruba","gfdl-esm4 ssp126",0.25,0,30,0.125
"Aruba","gfdl-esm4 ssp585",0,0,30,0
"Aruba","ipsl-cm6a-lr ssp126",0,0,30,0
"Aruba","ipsl-cm6a-lr ssp585",0,0,30,0
"Ascension","gfdl-esm4 ssp126",0,0,30,0
"Ascension","gfdl-esm4 ssp585",0,0,30,0
"Ascension","ipsl-cm6a-lr ssp126",0,0,30,0
"Ascension","ipsl-cm6a-lr ssp585",0,0,30,0
"Australia","gfdl-esm4 ssp126",0.25,0,30,0.994180887709934
"Australia","gfdl-esm4 ssp585",0.0164573459709038,0,30,0.558168492827191
"Australia","ipsl-cm6a-lr ssp126",0.00826280999999995,0,30,0.347058443834632
"Australia","ipsl-cm6a-lr ssp585",0.0246518819418077,0,30,0.647137984507889
"Austria","gfdl-esm4 ssp126",0.434407742377047,0.0592640396737664,30,0.173259601961965
"Austria","gfdl-esm4 ssp585",0.213782663162136,0.00826280999999995,30,0.180130751908125
"Austria","ipsl-cm6a-lr ssp126",0.467475911766873,0.0323264329495619,30,0.0239069986220526
"Austria","ipsl-cm6a-lr ssp585",0.00826280999999995,0,30,0.0245841720480419
"Azerbaijan","gfdl-esm4 ssp126",0.0652272428364579,0,30,0.129605699646351
"Azerbaijan","gfdl-esm4 ssp585",0.13635,0,30,0.17550492351243
"Azerbaijan","ipsl-cm6a-lr ssp126",0.271613549961081,0,30,0.289385012014347
"Azerbaijan","ipsl-cm6a-lr ssp585",0.30340133187312,-2.22044604925031e-16,30,0.730759125128272
"Azores","gfdl-esm4 ssp126",0.0625,0,30,0
"Azores","gfdl-esm4 ssp585",0.25,0,30,0
"Azores","ipsl-cm6a-lr ssp126",0,0,30,0
"Azores","ipsl-cm6a-lr ssp585",0,0,30,0
"Bahamas","gfdl-esm4 ssp126",0.0388750752854999,0,30,0.304727880735616
"Bahamas","gfdl-esm4 ssp585",0.0656335766873842,-2.22044604925031e-16,30,0.25
"Bahamas","ipsl-cm6a-lr ssp126",0.0232906333921855,0,30,0.110098653876469
"Bahamas","ipsl-cm6a-lr ssp585",0.0164573459709038,0,30,0.108864154333266
"Bahrain","gfdl-esm4 ssp126",0,0,30,0
