"climates","at_least_two_shocks_down","at_least_three_shocks_down","time_window","at_least_one_shock_up_down","at_least_one_shock_up","at_least_one_shock_down"
"gfdl-esm4 ssp126",0.516423208956356,0,30,0.04545,0.580104636163839,1
"gfdl-esm4 ssp585",1,2.22044604925031e-16,30,0.189171063211023,0.895080739290915,1
"ipsl-cm6a-lr ssp126",0.0779764690278001,1.11022302462516e-16,30,0.100028908642668,0.828173598343815,0.963138775516414
"ipsl-cm6a-lr ssp585",0.10908,0,30,0.090132872801584,0.810710213303187,1
"gfdl-esm4 ssp126",0.504131405,0,20,0,0.385255787944808,1
"gfdl-esm4 ssp585",1,2.22044604925031e-16,20,0.1434870022284,0.793491725565735,1
"ipsl-cm6a-lr ssp126",0.0779764690278001,1.11022302462516e-16,20,0.0721216251006742,0.673356446116907,0.932542049900457
"ipsl-cm6a-lr ssp585",0,0,20,0.090132872801584,0.534298659482627,1
"gfdl-esm4 ssp126",0,0,10,0,0.25617438,0.75208843
"gfdl-esm4 ssp585",0.1797002550864,1.11022302462516e-16,10,0,0.459015626574,0.93294370134902
"ipsl-cm6a-lr ssp126",0.0779764690278001,1.11022302462516e-16,10,0.057845124,0.311308540427,0.817858070036208
"ipsl-cm6a-lr ssp585",0,0,10,0.0479350958292,0.311308540427,1
