"climates","spans","at_least_two_shocks_down","at_least_three_shocks_down","time_window","at_least_one_shock_up_down","at_least_one_shock_up","at_least_one_shock_down"
"gfdl-esm4 ssp126","0.25",0.777682697964531,0.00165256199999986,30,0.49802772237989,0.961779125182355,1
"gfdl-esm4 ssp585","0.25",1,0.2036559409348,30,0.441498529453245,0.983220225182097,1
"ipsl-cm6a-lr ssp126","0.25",0.128601490432462,0.00661024799999999,30,0.105426213560179,0.951425799273987,0.980692847805804
"ipsl-cm6a-lr ssp585","0.25",0.614958080324762,0,30,0.140470262994932,0.953151754186733,1
"gfdl-esm4 ssp126","0.5",0.82191975357629,0.12872222390864,30,0.407906467953776,0.930505268435155,1
"gfdl-esm4 ssp585","0.5",1,0.2036559409348,30,0.468559158126447,0.980322809777067,1
"ipsl-cm6a-lr ssp126","0.5",0.131371819452785,0.00330512400000005,30,0.106486834490264,0.888006912643995,0.991029304219302
"ipsl-cm6a-lr ssp585","0.5",0.628098331882915,1.11022302462516e-16,30,0.348669558034679,0.936907523471073,1
"gfdl-esm4 ssp126","0.75",0.929360967348344,0.36521743653148,30,0.207303512752249,0.909399234571935,1
"gfdl-esm4 ssp585","0.75",1,0.206872849210423,30,0.331574121401242,0.98885691912463,1
"ipsl-cm6a-lr ssp126","0.75",0.116677771946697,0.00247884300000001,30,0.120026266292628,0.928717371625248,0.988350906530653
"ipsl-cm6a-lr ssp585","0.75",0.698933708752121,0,30,0.337821389881855,0.9532627162008,1
