"climates","at_least_two_shocks_down","at_least_three_shocks_down","time_window","at_least_one_shock_up_down"
"gfdl-esm4 ssp126",0.1756028925,0,30,0.222367505571
"gfdl-esm4 ssp585",1,0.00206570249999993,30,0.255054343217036
"ipsl-cm6a-lr ssp126",0.0383094418933142,0,30,0.157308477563009
"ipsl-cm6a-lr ssp585",0.262320469771192,0.0247884299999999,30,0.13647841079631
"gfdl-esm4 ssp126",0.13635,0,20,0.1818
"gfdl-esm4 ssp585",1,0.00206570249999993,20,0.204080817436188
"ipsl-cm6a-lr ssp126",0.03029697,0,20,0.1115592975
"ipsl-cm6a-lr ssp585",0.262320469771192,0.0247884299999999,20,0.13647841079631
"gfdl-esm4 ssp126",0,0,10,0
"gfdl-esm4 ssp585",0.0652876615419037,0.00206570249999993,10,0.0425331791092894
"ipsl-cm6a-lr ssp126",0,0,10,0.0909
"ipsl-cm6a-lr ssp585",0.00826280999999995,0,10,0.0883187514876492
