"regions","climates","at_least_one_shock","at_least_two_shocks","at_least_three_shocks","time_window"
4,"gfdl-esm4 ssp126",0.999550153851556,0.606701487858963,0.0991855375,30
4,"gfdl-esm4 ssp585",1,0.322955165351678,0.00413140499999987,30
4,"ipsl-cm6a-lr ssp126",0.990650380742561,0.130355441032897,0.00165256199999975,30
4,"ipsl-cm6a-lr ssp585",1,0.474997379693479,-2.22044604925031e-16,30
6,"gfdl-esm4 ssp126",1,0.339806801245355,0.00826280999999973,30
6,"gfdl-esm4 ssp585",0.998374237824547,0.317354061631681,0.00991537199999959,30
6,"ipsl-cm6a-lr ssp126",1,0.361219531433038,0,30
6,"ipsl-cm6a-lr ssp585",1,0.947696462991979,0.227480345089406,30
7,"gfdl-esm4 ssp126",0.999370498405932,0.287719479270638,0,30
7,"gfdl-esm4 ssp585",1,0.203227891173909,-6.66133814775094e-16,30
7,"ipsl-cm6a-lr ssp126",1,0.233060052802735,-2.22044604925031e-16,30
7,"ipsl-cm6a-lr ssp585",0.998223177659704,0.227574218424602,0.0115358160560922,30
9,"gfdl-esm4 ssp126",1,0.48205451787439,0.00413140499999987,30
9,"gfdl-esm4 ssp585",1,0.320726451902175,0.0326403719999999,30
9,"ipsl-cm6a-lr ssp126",1,0.0943169385319058,0,30
9,"ipsl-cm6a-lr ssp585",1,0.574446465651437,0.0453743115258911,30
16,"gfdl-esm4 ssp126",1,0.280311591495861,0,30
16,"gfdl-esm4 ssp585",1,0.565451613721426,0.0330512399999994,30
16,"ipsl-cm6a-lr ssp126",0.999621408566716,0.41530060954329,1.11022302462516e-16,30
16,"ipsl-cm6a-lr ssp585",0.961364233008302,0.0766830759174176,0,30
17,"gfdl-esm4 ssp126",1,0.1115592975,0,30
17,"gfdl-esm4 ssp585",0.90495714804506,0.022725,0,30
17,"ipsl-cm6a-lr ssp126",0.963715843776487,0.188251851364338,0.00303060599999994,30
17,"ipsl-cm6a-lr ssp585",1,0.0303060599999999,0,30
27,"gfdl-esm4 ssp126",0.999879323336873,0.570273890347973,-2.22044604925031e-16,30
27,"gfdl-esm4 ssp585",0.999935914308223,0.357132813039535,0.00165256199999997,30
27,"ipsl-cm6a-lr ssp126",0.990343074989199,0.0380907397256747,0,30
27,"ipsl-cm6a-lr ssp585",0.989247681235883,0.095390437615978,0,30
36,"gfdl-esm4 ssp126",0.958356651723759,0.0165256199999999,0,30
36,"gfdl-esm4 ssp585",1,0.119358764357588,0,30
