"regions","climates","at_least_two_shocks_down","at_least_three_shocks_down","time_window","at_least_one_shock_up_down","at_least_one_shock_up","at_least_one_shock_down"
4,"gfdl-esm4 ssp126",0.929082018575359,0.576610205931251,30,0.0870487142508674,0.892459709883129,0.999957604714298
4,"gfdl-esm4 ssp585",0.404710547685511,0.0198307439999998,30,0.307523753822247,0.999861822945603,1
4,"ipsl-cm6a-lr ssp126",0.335185855663884,0.0258138642526921,30,0.160354094126705,0.832671498278831,0.993404843394481
4,"ipsl-cm6a-lr ssp585",0.595455063385198,0.04268983668507,30,0.702337275421241,0.99748699682781,1
6,"gfdl-esm4 ssp126",0.720729246493926,0.147511522166922,30,0.126269923655438,0.763387700512935,1
6,"gfdl-esm4 ssp585",0.363735023471371,0.0747467832105724,30,0.231369215940823,0.999749194502113,0.981825908503276
6,"ipsl-cm6a-lr ssp126",0.772855619557234,0.191559879991256,30,0.327366436084096,0.911275317155235,1
6,"ipsl-cm6a-lr ssp585",0.978524434193589,0.467586221550178,30,0.548572366147557,0.999996631547043,1
7,"gfdl-esm4 ssp126",0.503593933768558,0.0347092560000001,30,0.0656602909947959,0.905297791323623,0.998858280257785
7,"gfdl-esm4 ssp585",0.475419903317761,0.0445909060664932,30,0.123901568133171,0.966063762732627,1
7,"ipsl-cm6a-lr ssp126",0.265591135571857,0.00826198371899967,30,0.00826280999999995,0.7585047244179,1
7,"ipsl-cm6a-lr ssp585",0.140961247507975,0.0055079891459997,30,0.246794694545727,0.650101193315327,0.997706582769226
9,"gfdl-esm4 ssp126",0.161378894136327,0,30,0.461702778064135,0.927703403969975,1
9,"gfdl-esm4 ssp585",0.212709319158958,0.00454499999999958,30,0.248112293253019,0.949713636469263,1
9,"ipsl-cm6a-lr ssp126",0.111029692284,0,30,0.0164573459709038,0.611228299734739,1
9,"ipsl-cm6a-lr ssp585",0.485090521679297,0.00991537200000003,30,0.206224775348599,0.767681740489323,1
16,"gfdl-esm4 ssp126",0.290352439131217,0.00751089428999985,30,0.154860604906597,0.964296359140303,1
16,"gfdl-esm4 ssp585",0.756001409570632,0.240822340290233,30,0.343738951522157,0.983142079467884,1
16,"ipsl-cm6a-lr ssp126",0.854909919677058,0.376823979880203,30,0.227797455351744,0.990360251192374,0.999475639707718
16,"ipsl-cm6a-lr ssp585",0.161945376030525,0.00150217885799997,30,0.224528299157889,0.969209033211514,0.964881263762494
17,"gfdl-esm4 ssp126",0.200393595,0,30,0.305126424457055,0.98337210188694,1
17,"gfdl-esm4 ssp585",0.0683565745679999,0.00300435771599994,30,0.0878261620179192,0.951137602323003,0.777318213684617
17,"ipsl-cm6a-lr ssp126",0.171341880064588,0.00075108942900004,30,0.215571361879075,0.834667591978357,0.936270508601914
17,"ipsl-cm6a-lr ssp585",0.0848642886692335,0.00075108942900004,30,0.265059922172141,0.981390288855776,1
27,"gfdl-esm4 ssp126",0.822583386799199,0.246830205644571,30,0.269629048807831,0.891102146814822,0.999931349017122
27,"gfdl-esm4 ssp585",0.899729106076281,0.545345176777483,30,0.27541991738067,0.993563045916015,0.999972996817789
27,"ipsl-cm6a-lr ssp126",0.0473640831697878,0.00075108942900004,30,0.0436433228781609,0.738661637616875,0.992491284070179
27,"ipsl-cm6a-lr ssp585",0.274126463724156,0.00901307314799993,30,0.113567245244928,0.917861767483165,0.994561053385042
36,"gfdl-esm4 ssp126",0.325411341983475,0,30,0.0472424526609904,0.736631876921907,0.983708155339377
36,"gfdl-esm4 ssp585",0.42288331177163,0.0320620394327312,30,0.29771226894845,0.942519541396893,1
36,"ipsl-cm6a-lr ssp126",0.306891253810089,0.00495768599999991,30,0.309792318692004,0.987356145820518,0.997531952822773
36,"ipsl-cm6a-lr ssp585",0.440016033000333,0.0248771071346485,30,0.489507720352839,0.951539862337628,1
46,"gfdl-esm4 ssp126",0.111839090374981,-2.22044604925031e-16,30,0.0898052011575329,0.946539212519227,0.960578861193691
46,"gfdl-esm4 ssp585",0.322305012715503,0.0264409920000002,30,0.31314828338706,0.991826199735826,0.992337770902116
46,"ipsl-cm6a-lr ssp126",0.658648211827201,0.0255303975582155,30,0.0705749474598335,0.98057312480479,1
46,"ipsl-cm6a-lr ssp585",0.792548259050722,0.0734183933747684,30,0.307549490559145,0.967943731679493,1
52,"gfdl-esm4 ssp126",0.733837493943911,0.253347842864,30,0.142559527601178,0.713194344715079,0.999863542216874
52,"gfdl-esm4 ssp585",0.261336793244671,0.0340918909858654,30,0.955332496235854,0.999662194926321,1
52,"ipsl-cm6a-lr ssp126",0.483797702041528,0.0482467484925455,30,0.153066827235955,0.913244591263235,0.99946356792467
52,"ipsl-cm6a-lr ssp585",0.853987818411676,0.233129858387267,30,0.66433227910477,0.999996967799429,1
94,"gfdl-esm4 ssp126",0.702472020579518,0.189932329254868,30,0.04545,0.985505953415962,0.99893374113436
94,"gfdl-esm4 ssp585",0.0601155395144036,1.11022302462516e-16,30,0.1224525318858,0.947321253113815,1
94,"ipsl-cm6a-lr ssp126",0.190078354112992,0.00484798182842339,30,0.216756105432427,0.945683357685577,0.992228822470288
94,"ipsl-cm6a-lr ssp585",0.540172172185547,0.0530527978720622,30,0.423987029742588,0.847903484917864,1
95,"gfdl-esm4 ssp126",0.131411905594907,0.0069435423470664,30,0.294557648036875,0.928169636531989,1
95,"gfdl-esm4 ssp585",0.0957959447902754,0,30,0.328571370699274,0.972860297260392,1
95,"ipsl-cm6a-lr ssp126",0.131184012287,0,30,0.24913898838248,0.935886681360014,0.91116574358498
95,"ipsl-cm6a-lr ssp585",0.187636128363027,0.00825634236569617,30,0.211271095995972,0.989294738927551,0.968328636881063
97,"gfdl-esm4 ssp126",0.247144698545035,0.00974723851708914,30,0.109850100639665,0.899039866362737,0.994230525078042
97,"gfdl-esm4 ssp585",0.339550415919447,0.0201669142897003,30,0.186536990751099,0.940308403612016,1
97,"ipsl-cm6a-lr ssp126",0.201630995852353,0.0135196097219998,30,0.224332722792266,0.982301186808306,0.988943772039641
97,"ipsl-cm6a-lr ssp585",0.104837819497309,0,30,0.521340220101047,0.897168175579924,1
98,"gfdl-esm4 ssp126",0,0,30,0.0443223742283999,0.49193677107363,0.78361220123456
98,"gfdl-esm4 ssp585",0.0363600000000001,1.11022302462516e-16,30,0.1,0.6234336775,0.976630117733333
98,"ipsl-cm6a-lr ssp126",0.06668,0,30,0.045451818,0.24244697,1
98,"ipsl-cm6a-lr ssp585",0.06668,0,30,0.03636,0.487733648094408,0.941822254498908
99,"gfdl-esm4 ssp126",0.137138050338147,0.00300435771599994,30,0.275046289567241,0.987630165901542,0.97323348203163
99,"gfdl-esm4 ssp585",0.0782234592168578,0.0022532682869999,30,0.260556587749841,0.960499638065053,0.985981453478463
99,"ipsl-cm6a-lr ssp126",0.10909801345307,0,30,0.0386934520324765,0.971197239077469,0.896299674312118
99,"ipsl-cm6a-lr ssp585",0.47764961934573,0.0132204959999999,30,0.400325706145128,0.989737601690357,1
120,"gfdl-esm4 ssp126",0.676050841049065,0.141829411712216,30,0.2334921572833,0.652972097697994,0.999891906698363
120,"gfdl-esm4 ssp585",0.321691624946307,0.0440528666464117,30,0.44610513593881,0.999858921907439,0.995812689319155
120,"ipsl-cm6a-lr ssp126",0.512199055065328,0.0479031289922002,30,0.204484417203339,0.787052243262296,0.998756825238794
