"regions","climates","spans","at_least_two_shocks_down","at_least_three_shocks_down","time_window","at_least_one_shock_up_down","at_least_one_shock_up","at_least_one_shock_down"
4,"gfdl-esm4 ssp126","0.25",0.624989706323217,0.206104561678727,30,0.0941505895650382,0.997295314531015,0.999379160609205
4,"gfdl-esm4 ssp585","0.25",0.436706654709277,0.0271685792952593,30,0.168172929236867,0.999967144522626,0.999247599256315
4,"ipsl-cm6a-lr ssp126","0.25",0.426932714650838,0.061242842238641,30,0.114238370613964,0.893557245973777,0.986732263920498
4,"ipsl-cm6a-lr ssp585","0.25",0.675505351381759,0.102952689316401,30,0.892169171399844,0.999210744178749,1
6,"gfdl-esm4 ssp126","0.25",0.615691062960344,0.0482928283900466,30,0.100790857790634,0.970806721174701,1
6,"gfdl-esm4 ssp585","0.25",0.727857626995909,0.30456113447712,30,0.29326183671585,1,0.997779601639967
6,"ipsl-cm6a-lr ssp126","0.25",0.395356938160672,0.028542488347328,30,0.479216407059625,0.956389402803618,1
6,"ipsl-cm6a-lr ssp585","0.25",0.965926531990376,0.301811594554073,30,0.409557501580929,0.999999868493181,1
7,"gfdl-esm4 ssp126","0.25",0.560639636100584,0,30,0.10825360831112,0.946536711529945,1
7,"gfdl-esm4 ssp585","0.25",0.707862549139808,0.0690357048522089,30,0.141643438455197,0.989376446420862,1
7,"ipsl-cm6a-lr ssp126","0.25",0.0684597035741906,0,30,0.060597273,0.884722375639989,0.925173835972916
7,"ipsl-cm6a-lr ssp585","0.25",0.130024527077961,2.22044604925031e-16,30,0.162006677823304,0.769071983850962,0.997566919856463
9,"gfdl-esm4 ssp126","0.25",0.018278353964438,0,30,0.42620213549896,0.946887826854215,1
9,"gfdl-esm4 ssp585","0.25",0.28716783351577,0,30,0.224017644228959,0.947769262448391,1
9,"ipsl-cm6a-lr ssp126","0.25",0.2264359216584,0,30,0.00826280999999995,0.615115161495245,1
9,"ipsl-cm6a-lr ssp585","0.25",0.494526948270951,0.0343488659548219,30,0.0909969032022743,0.737225163132934,1
16,"gfdl-esm4 ssp126","0.25",0.26287288086743,0.0024788429999999,30,0.150840812979671,0.980640621592709,1
16,"gfdl-esm4 ssp585","0.25",0.844551459969791,0.273465825585335,30,0.236465654083545,0.972348075121272,1
16,"ipsl-cm6a-lr ssp126","0.25",0.865436025867237,0.402234256920296,30,0.177772718148376,0.992082929127676,0.999821669888249
16,"ipsl-cm6a-lr ssp585","0.25",0.383703564719495,0.0432249291061646,30,0.27184559576803,0.980571243649415,0.987236583222317
17,"gfdl-esm4 ssp126","0.25",0.26540679,0,30,0.817849374619438,0.998112546606432,1
17,"gfdl-esm4 ssp585","0.25",0.13117982519063,0.00588224258366132,30,0.161911594055817,0.970692174697933,0.901688191282227
17,"ipsl-cm6a-lr ssp126","0.25",0.380082788515923,0.0315301761753899,30,0.162670001589083,0.879986560119793,1
17,"ipsl-cm6a-lr ssp585","0.25",0.123351944889603,0.00252474749999987,30,0.39321356345476,0.987822823798481,1
27,"gfdl-esm4 ssp126","0.25",0.93898907972341,0.406709607750966,30,0.315136099871644,0.916513224903905,0.999994418885425
27,"gfdl-esm4 ssp585","0.25",0.953754562338098,0.666267450915977,30,0.115384506708755,0.995884863482626,0.999924979940856
27,"ipsl-cm6a-lr ssp126","0.25",0.0757465338799999,0.00363599999999986,30,0.0594710071143991,0.881216698733251,0.99763520910845
27,"ipsl-cm6a-lr ssp585","0.25",0.3632034832957,0.00551533999346776,30,0.18781134717453,0.949743915341945,0.99343823106681
36,"gfdl-esm4 ssp126","0.25",0.134158737237348,0.00183599638200005,30,0.321368231841752,0.929051621750974,0.993432804679181
36,"gfdl-esm4 ssp585","0.25",0.413498062953637,0.0436320000000001,30,0.1852532079929,0.990468948410691,1
36,"ipsl-cm6a-lr ssp126","0.25",0.31612101473498,0.00192697010554477,30,0.38008528421428,0.994861067642562,0.994564384471493
36,"ipsl-cm6a-lr ssp585","0.25",0.377011078801998,0.0166975971750587,30,0.49835669158728,0.95004082634448,1
46,"gfdl-esm4 ssp126","0.25",0.142806767089467,1.11022302462516e-16,30,0.183697805920225,0.976817113385525,0.98643072543088
46,"gfdl-esm4 ssp585","0.25",0.312036157380643,0.0136349999999998,30,0.352785406117633,0.994420256925531,0.988601100120969
46,"ipsl-cm6a-lr ssp126","0.25",0.834450151613726,0.0772941993883914,30,0.113932158742793,0.971892787423588,1
46,"ipsl-cm6a-lr ssp585","0.25",0.758783881241793,0.0778714495763905,30,0.177359024505202,0.984978254206278,1
52,"gfdl-esm4 ssp126","0.25",0.448920745216379,0.048475152,30,0.395852728950828,0.918055510884254,0.999573560627012
52,"gfdl-esm4 ssp585","0.25",0.716693299758846,0.257877135708,30,0.947056179376358,0.999036958459051,1
52,"ipsl-cm6a-lr ssp126","0.25",0.276386968135272,0.0264409919999999,30,0.219174072598666,0.981154838024508,0.98609475248736
52,"ipsl-cm6a-lr ssp585","0.25",0.769906831513517,0.103039630712829,30,0.544189505231039,0.99999988261497,1
94,"gfdl-esm4 ssp126","0.25",0.828629968888153,0.402866248543419,30,0.435358888382438,1,0.99932385329252
94,"gfdl-esm4 ssp585","0.25",0.290812550682947,0.0220319565839998,30,0.348114074,0.97968119578657,1
94,"ipsl-cm6a-lr ssp126","0.25",0.203960056547352,0.00531848656829326,30,0.285792522937913,0.97240120446395,0.978892356833182
94,"ipsl-cm6a-lr ssp585","0.25",0.548569054157976,0.052061407130463,30,0.568007005237263,0.914863827626515,1
95,"gfdl-esm4 ssp126","0.25",0.0486184212269538,0,30,0.300565260512332,0.982286751297706,1
95,"gfdl-esm4 ssp585","0.25",0.130005425175126,0.000908999999999827,30,0.45837845019913,0.975370386717929,1
95,"ipsl-cm6a-lr ssp126","0.25",0.218724551638649,0.00716366201326601,30,0.426772319845993,0.975966448136351,0.972229287585322
95,"ipsl-cm6a-lr ssp585","0.25",0.256906184222267,0.0161583839999999,30,0.10517212339315,0.990622104700305,0.957591222339512
97,"gfdl-esm4 ssp126","0.25",0.203597121603155,0.00734398552799997,30,0.0694442109957917,0.833079750029035,0.966140794465956
97,"gfdl-esm4 ssp585","0.25",0.299338594939748,0.0164714201386433,30,0.177071890003268,0.976116987822011,0.994304176260331
97,"ipsl-cm6a-lr ssp126","0.25",0.102415734496706,0,30,0.414981105861408,0.992460906886837,0.997548147845935
97,"ipsl-cm6a-lr ssp585","0.25",0.0942748902417684,-2.22044604925031e-16,30,0.521959618923393,0.962445387371674,1
98,"gfdl-esm4 ssp126","0.25",0,0,30,0.146224,0.822853,0.91042048
98,"gfdl-esm4 ssp585","0.25",0.0199999999999999,0,30,0,0.19,0.838756864
98,"ipsl-cm6a-lr ssp126","0.25",0,0,30,0,0.6875249995,1
98,"ipsl-cm6a-lr ssp585","0.25",0.06668,0,30,0.08,0.662540498380021,0.9966823727104
99,"gfdl-esm4 ssp126","0.25",0.284089917346383,-2.22044604925031e-16,30,0.211136234291454,0.993825894719088,0.996674620876534
99,"gfdl-esm4 ssp585","0.25",0.0709652414835107,0.00183599638199994,30,0.195926272299896,0.989980772930213,0.986233120590933
99,"ipsl-cm6a-lr ssp126","0.25",0.137605850387256,0.00948607310681893,30,0.0466788038259517,0.984622635149636,0.948173872168789
99,"ipsl-cm6a-lr ssp585","0.25",0.566085356076211,0.0106248367451758,30,0.591033668273118,0.992587883510002,1
120,"gfdl-esm4 ssp126","0.25",0.468251718195926,0.0274625918058604,30,0.327199872941379,0.974050418821956,0.999732650132335
120,"gfdl-esm4 ssp585","0.25",0.747803339981911,0.298474282450057,30,0.315291174226103,1,0.998781921000228
120,"ipsl-cm6a-lr ssp126","0.25",0.38509671060496,0.0372572325788799,30,0.445025705870289,0.926724671510876,1
120,"ipsl-cm6a-lr ssp585","0.25",0.890471900351802,0.259649698187308,30,0.478642441852999,0.999999878221844,0.999997028340944
121,"gfdl-esm4 ssp126","0.25",0.259620109898627,0.0103521418411383,30,0.25911304066351,0.987755251785909,1
121,"gfdl-esm4 ssp585","0.25",0.816684626194378,0.14830384090452,30,0.799222466312932,0.994806403703767,1
121,"ipsl-cm6a-lr ssp126","0.25",0.446845544104403,0.00467815973568719,30,0.498497030284191,0.964529807796161,1
121,"ipsl-cm6a-lr ssp585","0.25",0.379612747209615,0.00403959599999981,30,0.567169704091565,0.963934561679051,1
123,"gfdl-esm4 ssp126","0.25",0.601102608612138,0.0307977839199856,30,0.158052648100376,0.952588596520305,1
123,"gfdl-esm4 ssp585","0.25",0.799007114031234,0.390967638669271,30,0.309305553277766,0.998508480204115,1
123,"ipsl-cm6a-lr ssp126","0.25",0.503824557769479,0.040238708924336,30,0.182947816292356,0.966416370116026,1
123,"ipsl-cm6a-lr ssp585","0.25",0.80566563459083,0.1572877232881,30,0.526299413861875,0.999999402296283,1
124,"gfdl-esm4 ssp126","0.25",0.383879866714631,0.01818,30,0.55537620396423,0.989249878436347,1
124,"gfdl-esm4 ssp585","0.25",0.435987143395691,0.0361490902975622,30,0.390653341052181,0.972590160480217,0.997602890399593
124,"ipsl-cm6a-lr ssp126","0.25",0.375917275301922,0,30,0.185827330381543,0.955456750520908,1
124,"ipsl-cm6a-lr ssp585","0.25",0.393865695029812,0.0157462806621552,30,0.435002058234704,0.954466341971522,0.999290922979932
127,"gfdl-esm4 ssp126","0.25",0.917794770791544,0.37536321535884,30,0.282114713822029,0.848336469973547,1
127,"gfdl-esm4 ssp585","0.25",0.991734618299186,0.848856609416115,30,0.594693830580554,0.999853527690149,0.999996513746203
127,"ipsl-cm6a-lr ssp126","0.25",0.64989900165152,0.0516787689421426,30,0.524064802776774,0.994835245877121,1
127,"ipsl-cm6a-lr ssp585","0.25",0.953310903826525,0.394990830602996,30,0.895789635307877,0.999505708065893,1
128,"gfdl-esm4 ssp126","0.25",0.303780529,0.01652562,30,0.240804433860169,0.970563766251504,0.993819033964179
128,"gfdl-esm4 ssp585","0.25",0.141403914895003,0.00181799999999999,30,0.220846405987521,0.999827145513307,0.963671726092758
128,"ipsl-cm6a-lr ssp126","0.25",0.343564004220615,0.0181065454567489,30,0.499636857292262,0.982182596090069,0.994721836661942
128,"ipsl-cm6a-lr ssp585","0.25",0.254490107412732,-4.44089209850063e-16,30,0.408053993876552,0.99253465836819,0.999680532890193
130,"gfdl-esm4 ssp126","0.25",0.737003679311447,0.1225760882562,30,0.356545553257706,0.985149889909316,1
130,"gfdl-esm4 ssp585","0.25",0.304926729297979,0.000826280999999707,30,0.336030304164314,0.979268489308409,0.996931132426918
130,"ipsl-cm6a-lr ssp126","0.25",0.731198059339002,0.100451133260225,30,0.581544902366795,0.996880023008844,1
130,"ipsl-cm6a-lr ssp585","0.25",0.799731617901388,0.195522511265591,30,0.553632226886642,0.966018810909361,1
132,"gfdl-esm4 ssp126","0.25",0.56919432756305,0.0275677613519915,30,0.052331405427,0.936784795360407,0.99961709839065
132,"gfdl-esm4 ssp585","0.25",0.620321706824749,0.161466654483838,30,0.376692120047306,0.998135674310189,0.999958060944564
132,"ipsl-cm6a-lr ssp126","0.25",0.238932332174617,0.0084500425761248,30,0.364662031606991,0.974558619422997,0.99268647262275
132,"ipsl-cm6a-lr ssp585","0.25",0.860546820907303,0.228210004594239,30,0.578036821202012,0.999999501933493,1
135,"gfdl-esm4 ssp126","0.25",0.658776565101529,0.109243371675447,30,0.564862918161618,0.984483083763467,0.999851034536479
135,"gfdl-esm4 ssp585","0.25",0.671725743655958,0.0754404587226665,30,0.52189311823863,0.988108530319289,0.999896906130383
135,"ipsl-cm6a-lr ssp126","0.25",0.409340729006634,0.0294766615924951,30,0.320151424264622,0.983388287291651,0.999705986327008
135,"ipsl-cm6a-lr ssp585","0.25",0.764272755371799,0.126288639626571,30,0.442767693346377,0.934212077688225,0.999993375834939
136,"gfdl-esm4 ssp126","0.25",0.076458474928375,0.00307351534911082,30,0.25374173988934,0.996108427751188,0.964329882631715
136,"gfdl-esm4 ssp585","0.25",0.2246400301142,0,30,0.797515578713053,0.993417165583401,1
136,"ipsl-cm6a-lr ssp126","0.25",0.0823840455951256,0.00403959599999992,30,0.199966819104568,0.977105219613804,0.988989998459481
136,"ipsl-cm6a-lr ssp585","0.25",0.246579512625073,-2.22044604925031e-16,30,0.802687385417632,0.997937823636504,1
137,"gfdl-esm4 ssp126","0.25",0.543406226217616,0.00826280999999995,30,0.147985237438028,0.977421885132704,1
137,"gfdl-esm4 ssp585","0.25",0.54925465657348,0.0936496936612489,30,0.103904593781644,0.9962024303265,1
137,"ipsl-cm6a-lr ssp126","0.25",0.376056612890096,0.0219098896939426,30,0.486452403491159,0.993916960360935,0.998076260082377
137,"ipsl-cm6a-lr ssp585","0.25",0.659508369862043,0.0543792450525328,30,0.342682849516616,0.999998835704764,0.999009881044246
140,"gfdl-esm4 ssp126","0.25",0.221431801625979,2.22044604925031e-16,30,0.286484019305565,0.976817113385525,0.99374727827855
140,"gfdl-esm4 ssp585","0.25",0.596726774877173,0.119046948407328,30,0.520979217180715,0.994420256925531,0.999282843229627
140,"ipsl-cm6a-lr ssp126","0.25",0.456692539477831,0.0117215180294371,30,0.258676684610042,0.977512206138613,0.999790216226466
140,"ipsl-cm6a-lr ssp585","0.25",0.445239325627365,0.0251755666996012,30,0.149427566283283,0.987482379230092,0.999929379000222
141,"gfdl-esm4 ssp126","0.25",0.1249830644032,0.00605939399999977,30,0.350571329859229,0.920860252062957,1
141,"gfdl-esm4 ssp585","0.25",0.227013951159823,0.0148838735226877,30,0.23035488567255,0.913083318495225,1
141,"ipsl-cm6a-lr ssp126","0.25",0.110929304265677,0.00303060599999994,30,0.134504082128714,0.966940832235685,1
141,"ipsl-cm6a-lr ssp585","0.25",0.308894186247263,0.00100989899999993,30,0.40998651476983,0.986965278719998,1
145,"gfdl-esm4 ssp126","0.25",0.598743379339927,0.00826280999999995,30,0.141653592043387,0.984285635225327,1
145,"gfdl-esm4 ssp585","0.25",0.560477000663055,0.0936496936612488,30,0.164527075305791,0.996547629409821,0.999265934029249
145,"ipsl-cm6a-lr ssp126","0.25",0.497611856023667,0.0176468081447202,30,0.617426535312586,0.982968188921332,1
145,"ipsl-cm6a-lr ssp585","0.25",0.917453305591925,0.205234901442987,30,0.404363471954345,0.999998206969965,1
146,"gfdl-esm4 ssp126","0.25",0.166622702968591,0.00991537200000003,30,0.392789461868738,0.868445057608953,0.992963554842594
146,"gfdl-esm4 ssp585","0.25",0.197498627468015,1.11022302462516e-16,30,0.46284528296408,0.980347948625277,0.999385955839804
146,"ipsl-cm6a-lr ssp126","0.25",0.32638310725176,0.018178182,30,0.35116134747133,0.990401129809676,0.995299169209258
